kommunenummer;kommunenavn;arealnoytral
5501;Tromsø;
5001;Trondheim - Tråante;1
3421;Trysil;
1835;Træna;
4213;Tvedestrand;
5033;Tydal;
3427;Tynset;
4616;Tysnes;
1146;Tysvær;1
3905;Tønsberg;
3209;Ullensaker;1
4618;Ullensvang;1
1516;Ulstein;
4620;Ulvik;1
5636;Unjárga - Nesseby;
1151;Utsira;1
5607;Vadsø;
4628;Vaksdal;
4221;Valle;
3454;Vang;1
1511;Vanylven;
5634;Vardø;
1824;Vefsn;
1815;Vega;
4212;Vegårshei;
4223;Vennesla;
5038;Verdal;
3216;Vestby;1
1535;Vestnes;
3452;Vestre Slidre;
3443;Vestre Toten;
1860;Vestvågøy;1
1816;Vevelstad;
4639;Vik;
1160;Vindafjord;
4036;Vinje;
1577;Volda;
4621;Voss;1
1857;Værøy;1
1865;Vågan;
3435;Vågå;
3419;Våler (Innlandet);
3114;Våler (Østfold);1
1868;Øksnes;
5057;Ørland;1
1520;Ørsta;
3442;Østre Toten;1
3314;Øvre Eiker;
3440;Øyer;
4626;Øygarden;1
3453;Øystre Slidre;
5058;Åfjord;
3328;Ål;
1508;Ålesund;
4217;Åmli;1
3422;Åmot;
1826;Aarborte - Hattfjelldal;
4643;Årdal;1
3218;Ås;1
4224;Åseral;
3418;Åsnes;
