"kommunenummer","iKomNr","KomNavn","iKomNr2023","txtFylke","intercept","slope","ImpAreaKm2_2000","ImpAreaKm2_2001","ImpAreaKm2_2002","ImpAreaKm2_2003","ImpAreaKm2_2004","ImpAreaKm2_2005","ImpAreaKm2_2006","ImpAreaKm2_2007","ImpAreaKm2_2008","ImpAreaKm2_2009","ImpAreaKm2_2010","ImpAreaKm2_2011","ImpAreaKm2_2012","ImpAreaKm2_2013","ImpAreaKm2_2014","ImpAreaKm2_2015","ImpAreaKm2_2016","ImpAreaKm2_2017","ImpAreaKm2_2018","ImpAreaKm2_2019","ImpAreaKm2_2020","ImpAreaKm2_2021","ImpAreaKm2_2022","km2_2023","km2_2024","km2_2025","km2_2026","km2_2027","km2_2028","km2_2029","km2_2030","km2_2031","km2_2032","km2_2033","km2_2034","km2_2035","km2_2036","km2_2037","km2_2038","km2_2039","km2_2040","km2_2041","km2_2042","km2_2043","km2_2044","km2_2045","km2_2046","km2_2047","km2_2048","km2_2049","km2_2050","SHAPE_Length","SHAPE_Area","intercept2","slope2","km2_2000","km2_2001","km2_2002","km2_2003","km2_2004","km2_2005","km2_2006","km2_2007","km2_2008","km2_2009","km2_2010","km2_2011","km2_2012","km2_2013","km2_2014","km2_2015","km2_2016","km2_2017","km2_2018","km2_2019","km2_2020","km2_2021","km2_2022"
"4601",4601,"Bergen",4601,"46",57320.0415019763,1.70553359683795,53.982,55.5264,56.9583,54.6831,54.0693,54.2817,53.8731,54.036,54.8586,53.5545,55.2249,54.2277,54.4527,55.2618,55.602,55.7316,53.7876,53.289,53.8587,53.73,54.5643,55.6659,56.3031,54.6933023715415,54.6948373517787,54.6963723320158,54.697907312253,54.6994422924901,54.7009772727273,54.7025122529644,54.7040472332016,54.7055822134387,54.7071171936759,54.708652173913,54.7101871541502,54.7117221343874,54.7132571146245,54.7147920948617,54.7163270750988,54.717862055336,54.7193970355731,54.7209320158103,54.7224669960474,54.7240019762846,54.7255369565217,54.7270719367589,54.728606916996,54.7301418972332,54.7316768774704,54.7332118577075,54.7347468379447,375295.406715236,467546663.706518,51.5880373517812,0.0015349802371529,54.657997826087,54.6595328063241,54.6610677865613,54.6626027667985,54.6641377470356,54.6656727272728,54.6672077075099,54.6687426877471,54.6702776679842,54.6718126482214,54.6733476284585,54.6748826086957,54.6764175889328,54.67795256917,54.6794875494071,54.6810225296443,54.6825575098814,54.6840924901186,54.6856274703557,54.6871624505929,54.68869743083,54.6902324110672,54.6917673913044
"1820",1820,"Alstahaug",1820,"18",-18700.8241106719,9.68577075098814,0.5715,0.6975,0.6201,0.6561,0.5751,0.6264,0.6093,0.6723,0.6588,0.6993,0.7794,0.7002,0.7857,0.7641,0.6489,0.6786,0.6561,0.7299,0.7497,0.7767,0.7344,0.81,0.8892,0.804141106719365,0.812858300395254,0.821575494071143,0.830292687747033,0.839009881422922,0.847727075098811,0.8564442687747,0.86516146245059,0.873878656126479,0.882595849802368,0.891313043478257,0.90003023715415,0.908747430830039,0.917464624505928,0.926181818181817,0.934899011857707,0.943616205533596,0.952333399209485,0.961050592885374,0.969767786561263,0.978484980237153,0.987202173913042,0.995919367588931,1.00463656126482,1.01335375494071,1.0220709486166,1.03078814229249,1.03950533596838,909756.113812389,188074433.887466,-16.8307416996049,0.0087171936758894,0.603645652173906,0.612362845849795,0.621080039525687,0.629797233201575,0.638514426877464,0.647231620553352,0.655948814229244,0.664666007905133,0.673383201581021,0.68210039525691,0.690817588932802,0.699534782608691,0.708251976284579,0.716969169960468,0.72568636363636,0.734403557312248,0.743120750988137,0.751837944664025,0.760555138339917,0.769272332015806,0.777989525691694,0.786706719367583,0.795423913043475
"3422",3422,"Åmot",3422,"34",-86776.6106719367,44.7924901185771,2.4057,2.4453,2.3769,2.3094,2.4714,2.9583,2.9232,2.7702,2.871,3.0906,3.0645,3.1212,3.4758,3.4956,3.2778,3.0753,3.1221,3.1518,3.0726,3.2751,3.411,3.1905,2.9772,3.45473715415019,3.49505039525691,3.53536363636363,3.57567687747036,3.61599011857708,3.6563033596838,3.69661660079052,3.73692984189723,3.77724308300395,3.81755632411067,3.85786956521739,3.89818280632411,3.93849604743083,3.97880928853754,4.01912252964426,4.05943577075098,4.0997490118577,4.14006225296442,4.18037549407115,4.22068873517787,4.26100197628459,4.30131521739131,4.34162845849802,4.38194169960474,4.42225494071146,4.46256818181818,4.5028814229249,4.54319466403162,197235.573603516,1340008288.23781,-78.0989496047437,0.0403132411067197,2.52753260869564,2.56784584980235,2.60815909090908,2.6484723320158,2.68878557312252,2.72909881422923,2.76941205533596,2.80972529644268,2.85003853754939,2.89035177865611,2.93066501976284,2.97097826086956,3.01129150197627,3.05160474308299,3.09191798418972,3.13223122529644,3.17254446640315,3.21285770750987,3.2531709486166,3.29348418972332,3.33379743083003,3.37411067193675,3.41442391304348
"1806",1806,"Narvik",1806,"18",111090.972332016,-47.4268774703557,13.0824,14.6115,15.4116,14.0013,14.1813,14.6025,14.3694,14.5413,13.8582,16.0479,15.9921,16.5501,13.2741,13.3983,12.9978,12.4794,12.3534,13.356,13.3551,13.8114,14.8761,14.409,13.7511,13.6317592885375,13.5890750988142,13.5463909090909,13.5037067193676,13.4610225296443,13.4183383399209,13.3756541501976,13.3329699604743,13.290285770751,13.2476015810277,13.2049173913043,13.162233201581,13.1195490118577,13.0768648221344,13.0341806324111,12.9914964426877,12.9488122529644,12.9061280632411,12.8634438735178,12.8207596837945,12.7780754940711,12.7353913043478,12.6927071146245,12.6500229249012,12.6073387351779,12.5646545454545,12.5219703557312,12.4792861660079,950430.680142233,3430265535.17407,99.9818750988188,-0.0426841897233224,14.613495652174,14.5708114624506,14.5281272727273,14.485443083004,14.4427588932807,14.4000747035573,14.357390513834,14.3147063241107,14.2720221343874,14.2293379446641,14.1866537549407,14.1439695652174,14.1012853754941,14.0586011857708,14.0159169960474,13.9732328063241,13.9305486166008,13.8878644268775,13.8451802371542,13.8024960474308,13.7598118577075,13.7171276679842,13.6744434782609
"1120",1120,"Klepp",1120,"11",-239081.505928854,123.094861660079,6.093,6.2757,6.4746,6.5691,6.6573,6.8778,6.9921,6.9678,7.5672,7.749,8.0001,7.8795,7.956,8.1387,8.3259,8.2647,8.3763,8.2863,8.3439,8.2818,8.2233,8.478,8.3907,8.94545928853753,9.05624466403162,9.16703003952567,9.27781541501976,9.38860079051382,9.4993861660079,9.61017154150196,9.72095691699605,9.83174229249011,9.94252766798417,10.0533130434783,10.1640984189723,10.2748837944664,10.3856691699605,10.4964545454545,10.6072399209486,10.7180252964427,10.8288106719367,10.9395960474308,11.0503814229249,11.161166798419,11.271952173913,11.3827375494071,11.4935229249012,11.6043083003953,11.7150936758893,11.8258790513834,11.9366644268775,62859.4547981222,114217862.599696,-215.17335533597,0.110785375494072,6.39739565217388,6.50818102766794,6.61896640316201,6.72975177865609,6.84053715415016,6.95132252964424,7.0621079051383,7.17289328063237,7.28367865612645,7.39446403162052,7.5052494071146,7.61603478260866,7.72682015810273,7.83760553359681,7.94839090909088,8.05917628458496,8.16996166007903,8.28074703557311,8.39153241106717,8.50231778656124,8.61310316205532,8.72388853754939,8.83467391304347
"5028",5028,"Melhus",5028,"50",-78755.3656126482,41.5237154150198,3.7242,3.852,3.942,4.2462,4.2039,4.2759,4.2831,4.1697,3.7521,3.8448,3.9492,4.1229,4.3965,4.4316,4.5639,4.5297,4.5873,4.1751,4.4127,4.689,4.7511,4.7682,4.6296,4.72239960474309,4.7597709486166,4.79714229249012,4.83451363636364,4.87188498023716,4.90925632411067,4.94662766798419,4.98399901185771,5.02137035573123,5.05874169960474,5.09611304347826,5.13348438735178,5.17085573122529,5.20822707509881,5.24559841897234,5.28296976284586,5.32034110671937,5.35771245059289,5.39508379446641,5.43245513833993,5.46982648221344,5.50719782608696,5.54456916996048,5.581940513834,5.61931185770751,5.65668320158103,5.69405454545455,5.73142588932806,149139.662161697,694822240.407524,-70.879829051384,0.0373713438735181,3.86285869565216,3.90023003952568,3.9376013833992,3.97497272727271,4.01234407114623,4.04971541501976,4.08708675889328,4.12445810276679,4.16182944664031,4.19920079051383,4.23657213438734,4.27394347826086,4.31131482213438,4.34868616600789,4.38605750988141,4.42342885375494,4.46080019762846,4.49817154150197,4.53554288537549,4.57291422924901,4.61028557312252,4.64765691699604,4.68502826086956
"3447",3447,"Søndre Land",3447,"34",-26007.1768774703,13.4278656126482,0.792,0.8028,0.8001,0.792,0.8163,0.8199,0.7839,0.8136,0.8316,0.8721,0.828,0.8127,0.9234,0.99,1.0746,0.9909,0.9657,0.9531,0.9261,1.0197,1.0188,1.0143,0.981,1.0416557312253,1.05374081027668,1.06582588932806,1.07791096837945,1.08999604743083,1.10208112648221,1.1141662055336,1.12625128458498,1.13833636363636,1.15042144268775,1.16250652173913,1.17459160079051,1.1866766798419,1.19876175889328,1.21084683794466,1.22293191699604,1.23501699604743,1.24710207509881,1.2591871541502,1.27127223320158,1.28335731225296,1.29544239130435,1.30752747035573,1.31961254940711,1.3316976284585,1.34378270750988,1.35586778656126,1.36795286561265,144434.437656544,728966371.397746,-23.4064591897237,0.0120850790513836,0.763698913043473,0.775783992094855,0.78786907114624,0.799954150197625,0.812039229249006,0.824124308300391,0.836209387351772,0.848294466403157,0.860379545454542,0.872464624505923,0.884549703557308,0.896634782608693,0.908719861660074,0.920804940711459,0.932890019762844,0.944975098814226,0.95706017786561,0.969145256916992,0.981230335968377,0.993315415019762,1.00540049407114,1.01748557312253,1.02957065217391
"5056",5056,"Hitra",5056,"50",-33460.6946640316,19.0602766798419,4.0176,4.0851,4.3047,4.4379,4.2768,4.2759,4.3596,4.6431,4.3065,4.1292,3.9546,4.1976,4.4694,4.7439,4.8978,4.2975,4.3704,4.743,4.3911,4.3857,4.1832,4.4901,4.8384,4.58842055335968,4.60557480237154,4.6227290513834,4.63988330039526,4.65703754940711,4.67419179841897,4.69134604743083,4.70850029644269,4.72565454545455,4.7428087944664,4.75996304347826,4.77711729249012,4.79427154150198,4.81142579051383,4.82858003952569,4.84573428853755,4.86288853754941,4.88004278656126,4.89719703557312,4.91435128458498,4.93150553359684,4.94865978260869,4.96581403162055,4.98296828063241,5.00012252964427,5.01727677865613,5.03443102766798,5.05158527667984,1683788.25065946,757053852.749238,-30.1146251976285,0.0171542490118577,4.19387282608695,4.21102707509881,4.22818132411067,4.24533557312252,4.26248982213438,4.27964407114624,4.2967983201581,4.31395256916995,4.33110681818181,4.34826106719367,4.36541531620552,4.38256956521738,4.39972381422924,4.4168780632411,4.43403231225296,4.45118656126482,4.46834081027668,4.48549505928854,4.50264930830039,4.51980355731225,4.53695780632411,4.55411205533596,4.57126630434782
"3234",3234,"Lunner",3054,"30",-43339.6324110672,22.6403162055336,1.8639,1.8891,1.7991,1.7028,1.4949,1.6272,1.89,1.9845,1.9701,2.1384,2.1294,2.0547,1.9422,1.9395,1.9827,1.9512,2.0691,2.1402,2.0295,2.2275,2.2428,2.1276,2.1375,2.21555454545455,2.23593083003953,2.25630711462451,2.27668339920949,2.29705968379447,2.31743596837945,2.33781225296443,2.35818853754941,2.37856482213439,2.39894110671937,2.41931739130435,2.43969367588933,2.46006996047431,2.48044624505929,2.50082252964427,2.52119881422925,2.54157509881423,2.56195138339921,2.58232766798419,2.60270395256917,2.62308023715416,2.64345652173913,2.66383280632411,2.6842090909091,2.70458537549407,2.72496166007905,2.74533794466404,2.76571422924901,97192.3099399499,292022660.039681,-39.0056691699613,0.0203762845849806,1.74689999999999,1.76727628458497,1.78765256916995,1.80802885375493,1.82840513833991,1.84878142292489,1.86915770750987,1.88953399209485,1.90991027667984,1.93028656126481,1.9506628458498,1.97103913043478,1.99141541501976,2.01179169960474,2.03216798418972,2.0525442687747,2.07292055335968,2.09329683794466,2.11367312252964,2.13404940711462,2.1544256916996,2.17480197628458,2.19517826086956
"4640",4640,"Sogndal",4640,"46",27647.3705533597,-11.5266798418972,3.6819,3.9258,3.9159,4.3119,4.2759,4.2156,4.0617,4.2399,4.1184,4.2912,4.113,4.4127,3.8493,4.0014,4.0662,3.9258,3.8277,3.8457,3.7998,3.9213,3.888,3.9906,3.7917,3.89600750988143,3.88563349802372,3.87525948616601,3.8648854743083,3.85451146245059,3.84413745059289,3.83376343873518,3.82338942687747,3.81301541501976,3.80264140316206,3.79226739130435,3.78189337944664,3.77151936758893,3.76114535573123,3.75077134387352,3.74039733201581,3.73002332015811,3.71964930830039,3.70927529644269,3.69890128458498,3.68852727272728,3.67815326086957,3.66777924901186,3.65740523715415,3.64703122529644,3.63665721343874,3.62628320158103,3.61590918972332,396917.351917318,1262793486.5406,24.882633498025,-0.0103740118577082,4.13460978260871,4.124235770751,4.11386175889329,4.10348774703558,4.09311373517788,4.08273972332017,4.07236571146246,4.06199169960475,4.05161768774704,4.04124367588933,4.03086966403163,4.02049565217392,4.01012164031621,3.9997476284585,3.98937361660079,3.97899960474309,3.96862559288538,3.95825158102767,3.94787756916996,3.93750355731225,3.92712954545454,3.91675553359684,3.90638152173913
