"","kommunenummer","KomNavn","area_t0","area_t1","area_t2","pop_t0","pop_t1","pop_t2","km2_change_2000_2022","km2_change_2022_2050","pop_change_2000_2022","pop_change_2022_2050","bpc_t0","bpc_t1","bpc_t2","AGR_pop_1","AGR_pop_2","AGR_bpc_1","AGR_bpc_2","combined_change_class_1","combined_change_class_2","category_1","category_2","BPC_ratio","BPC_ratio_t_1_2","pop_change_class_norsk","pop_change_class_t_1_2_norsk","bpc_change_class_norsk","bpc_change_class_t_1_2_norsk"
"13",3422,"Åmot",2527532.60869564,3414423.91304348,4543194.66403162,4379,4195,4856,0.88689130434784,1.12877075098814,-184,661,577.194018884595,813.92703529046,935.58374465231,-0.194932703936856,0.523945367496093,1.57450427232182,0.498739354754263,"pop_Stabil_bpc_Sterk økning","pop_Vekst_bpc_Moderat økning","f) Ekspansjon i utbygd areal","i) Rask vekst i utbygd areal",1.41014461110207,1.14946881487778,"Stabil","Vekst","Sterk økning","Moderat økning"
"14",1806,"Narvik",14613495.652174,14613495.653174,14613495.654174,21498,21530,19973,0,0,32,-1557,679.760705748163,678.750378688992,731.662527120312,0.0067611550348845,-0.267733630701317,-0.00676069762258757,0.268452368217842,"pop_Stabil_bpc_Liten endring","pop_Stabil_bpc_Liten endring","d) Stillstand i utbygd areal","d) Stillstand i utbygd areal",0.998513701879754,1.07795523964719,"Stabil","Stabil","Liten endring","Liten endring"
"15",1120,"Klepp",6397395.65217388,8834673.91304347,11936664.4268775,13789,20163,24766,2.43727826086959,3.10199051383403,6374,4603,463.949209672484,438.162669892549,481.977890126686,1.74217491854545,0.737069163132786,-0.259593609918052,0.340965713042496,"pop_Vekst_bpc_Liten endring","pop_Vekst_bpc_Liten endring","g) Arealeffektiv vekst","g) Arealeffektiv vekst",0.944419476868733,1.09999761103537,"Vekst","Vekst","Liten endring","Liten endring"
"16",5028,"Melhus",3862858.69565216,4685028.26086956,5731425.88932806,13169,17123,19615,0.8221695652174,1.0463976284585,3954,2492,293.329690610689,273.610247086933,292.196068790622,1.20059085904141,0.486436388532718,-0.315830033899034,0.234991414268748,"pop_Vekst_bpc_Liten endring","pop_Vekst_bpc_Liten endring","g) Arealeffektiv vekst","g) Arealeffektiv vekst",0.9327737895107,1.06792809078449,"Vekst","Vekst","Liten endring","Liten endring"
"17",3447,"Søndre Land",763698.913043473,1029570.65217391,1367952.86561265,6073,5535,5933,0.265871739130437,0.33838221343874,-538,398,125.753155449279,186.010957935666,230.566806946342,-0.420753934189488,0.248302121500865,1.79540283933914,0.76985925759856,"pop_Nedgang_bpc_Sterk økning","pop_Stabil_bpc_Moderat økning","c) Nedgang-spredning","e) Moderat arealvekst",1.47917527215204,1.23953346353975,"Nedgang","Stabil","Sterk økning","Moderat økning"
"18",5056,"Hitra",4193872.82608695,4571266.30434782,5051585.27667984,4923,5156,6356,0.377393478260871,0.48031897233202,233,1200,851.893728638422,886.591602860322,794.774272605387,0.21041644854396,0.750078254404518,0.181631403512816,-0.389689840016005,"pop_Stabil_bpc_Liten endring","pop_Vekst_bpc_Liten endring","d) Stillstand i utbygd areal","g) Arealeffektiv vekst",1.04073028484123,0.896437852604611,"Stabil","Vekst","Liten endring","Liten endring"
"19",3234,"Lunner",1746899.99999999,2195178.26086956,2765714.22924901,8264,9144,10220,0.44827826086957,0.57053596837945,880,1076,211.386737657308,240.067613830879,270.617830650588,0.461010282583296,0.398106985656876,0.579999486313443,0.428727125759742,"pop_Vekst_bpc_Moderat økning","pop_Vekst_bpc_Moderat økning","i) Rask vekst i utbygd areal","i) Rask vekst i utbygd areal",1.13567963861606,1.1272567187727,"Vekst","Vekst","Moderat økning","Moderat økning"
"20",4640,"Sogndal",4134609.78260871,4134609.78360871,4134609.78460871,10362,12097,13889,0,0,1735,1792,399.016578132475,341.788028735117,297.689522975643,0.70617363653398,0.494574975697293,-0.701221792005835,-0.492140968756871,"pop_Vekst_bpc_Liten endring","pop_Vekst_bpc_Liten endring","g) Arealeffektiv vekst","g) Arealeffektiv vekst",0.856576010788308,0.870977032394398,"Vekst","Vekst","Liten endring","Liten endring"
"21",3320,"Flå",622349.999999997,741971.739130433,894217.588932807,1102,1057,1311,0.119621739130436,0.152245849802374,-45,254,564.745916515424,701.960018098801,682.088168522355,-0.189329653243941,0.772092155824833,0.993541920519481,-0.102509991440747,"pop_Stabil_bpc_Moderat økning","pop_Vekst_bpc_Liten endring","e) Moderat arealvekst","g) Arealeffektiv vekst",1.2429660800914,0.971690909647151,"Stabil","Vekst","Moderat økning","Liten endring"
"22",1865,"Vågan",1029707.60869566,1029707.60969566,1029707.61069566,9229,9724,10431,0,0,495,707,111.573042441831,105.893419343445,98.7160972769303,0.237765652413557,0.250975436098044,-0.237201663915487,-0.250347122846317,"pop_Stabil_bpc_Liten endring","pop_Stabil_bpc_Liten endring","d) Stillstand i utbygd areal","d) Stillstand i utbygd areal",0.949095023546147,0.932221264446693,"Stabil","Stabil","Liten endring","Liten endring"
