"kommunenummer","KomNavn","area_t0","area_t1","area_t2","pop_t0","pop_t1","pop_t2","km2_change_2000_2022","km2_change_2022_2050","pop_change_2000_2022","pop_change_2022_2050","bpc_t0","bpc_t1","bpc_t2","AGR_pop_1","AGR_pop_2","AGR_bpc_1","AGR_bpc_2","APOP","ABPC","APOP_t_1_2","ABPC_t_1_2","pop_change_class_norsk","pop_change_class_t_1_2_norsk","bpc_change_class_norsk","bpc_change_class_t_1_2_norsk","combined_change_class_1","combined_change_class_2","category_1","category_2","BPC_ratio","BPC_ratio_t_1_2","Kyst","iFylke","SSB_Sentralitet","BefUtvSiste10y","SyssUtvSiste10y","Herfindahlsindeksen_omvendt","SSB_Sentr_Kl","Herfindahlsindeksen","rSkog","rDyrketMark","rUrbant","SHAPE_Length","SHAPE_Area","kommunenavn","arealnoytral","arealnoytral_cat"
4601,"Bergen",54657997.826087,54691767.3913044,54734746.8379447,229496,286930,321493,0.0337695652174048,0.0429794466402953,57434,34563,238.165361601453,190.610139725035,170.251753033331,1.02041051065063,0.407031442453154,-1.00732416079979,-0.402587246626762,12211781.3579324,-12178011.792715,6222948.04595624,-6179968.59931595,"Vekst","Vekst","Liten endring","Liten endring","pop_Vekst_bpc_Liten endring","pop_Vekst_bpc_Liten endring","g) Arealeffektiv vekst","g) Arealeffektiv vekst",0.800326875593284,0.893193579727331,1,46,895,8,8.8,0.962515645,2,0.037484355,33.1328153773304,2.6219330398639,9.6844911345341,375295.406715236,467546663.706518,"Bergen",0,"0"
1820,"Alstahaug",603645.652173906,795423.913043475,1039505.33596838,7440,7333,7290,0.191778260869569,0.244081422924905,-107,-43,81.1351683029444,108.471827770827,142.593324549846,-0.0658244159167265,-0.0210019481788004,1.32863061099231,0.981594222406712,-10069.768539939,201848.029409508,-5363.78297894401,249445.205903849,"Stabil","Stabil","Sterk økning","Moderat økning","pop_Stabil_bpc_Sterk økning","pop_Stabil_bpc_Moderat økning","f) Ekspansjon i utbygd areal","e) Moderat arealvekst",1.33692737735888,1.31456551881019,1,18,653,-0.8,-0.7,0.939998389,5,0.060001611,11.187245822084,4.14032329722156,0.404975906496702,909756.113812389,188074433.887466,"Alstahaug",0,"0"
3422,"Åmot",2527532.60869564,3414423.91304348,4543194.66403162,4379,4195,4856,0.88689130434784,1.12877075098814,-184,661,577.194018884595,813.92703529046,935.58374465231,-0.194932703936856,0.523945367496093,1.57450427232182,0.498739354754263,-126582.543284339,1013473.84763218,578260.335527166,550510.415460973,"Stabil","Vekst","Sterk økning","Moderat økning","pop_Stabil_bpc_Sterk økning","pop_Vekst_bpc_Moderat økning","f) Ekspansjon i utbygd areal","i) Rask vekst i utbygd areal",1.41014461110207,1.14946881487778,0,34,638,-4,-5.6,0.907997321,5,0.092002679,75.2356501556075,1.49487652155742,0.0955288041734146,197235.573603516,1340008288.23781,"Åmot",0,"0"
1806,"Narvik",14613495.652174,14613495.653174,14613495.654174,21498,21530,19973,0,0,32,-1557,679.760705748163,678.750378688992,731.662527120312,0.0067611550348845,-0.267733630701317,-0.00676069762258757,0.268452368217842,21736.1628784628,-21736.1618784632,-1096975.60651844,1096975.60751844,"Stabil","Stabil","Liten endring","Liten endring","pop_Stabil_bpc_Liten endring","pop_Stabil_bpc_Liten endring","d) Stillstand i utbygd areal","d) Stillstand i utbygd areal",0.998513701879754,1.07795523964719,1,18,686,-2.4,-4.3,0.944344665,4,0.055655335,20.9803557376007,0.473143717404162,0.127328448743579,950430.680142233,3430265535.17407,"Narvik",0,"0"
1120,"Klepp",6397395.65217388,8834673.91304347,11936664.4268775,13789,20163,24766,2.43727826086959,3.10199051383403,6374,4603,463.949209672484,438.162669892549,481.977890126686,1.74217491854545,0.737069163132786,-0.259593609918052,0.340965713042496,2869057.44618051,-431779.185310915,2119555.94571658,982434.568117451,"Vekst","Vekst","Liten endring","Moderat økning","pop_Vekst_bpc_Liten endring","pop_Vekst_bpc_Moderat økning","g) Arealeffektiv vekst","i) Rask vekst i utbygd areal",0.944419476868733,1.09999761103537,1,11,851,13.1,18.7,0.937702243,3,0.062297757,1.92073654690724,39.488861844542,2.01597968146463,62859.4547981222,114217862.599696,"Klepp",0,"0"
5028,"Melhus",3862858.69565216,4685028.26086956,5731425.88932806,13169,17123,19615,0.8221695652174,1.0463976284585,3954,2492,293.329690610689,273.610247086933,292.196068790622,1.20059085904141,0.486436388532718,-0.315830033899034,0.234991414268748,1118684.74561664,-296515.180399238,705265.327783463,341132.300675038,"Vekst","Vekst","Liten endring","Liten endring","pop_Vekst_bpc_Liten endring","pop_Vekst_bpc_Liten endring","g) Arealeffektiv vekst","g) Arealeffektiv vekst",0.9327737895107,1.06792809078449,1,50,776,10.6,13.1,0.927849439,3,0.0721505609999999,66.3517587939699,10.1809045226131,0.449389806173726,149139.662161697,694822240.407524,"Melhus",0,"0"
3447,"Søndre Land",763698.913043473,1029570.65217391,1367952.86561265,6073,5535,5933,0.265871739130437,0.33838221343874,-538,398,125.753155449279,186.010957935666,230.566806946342,-0.420753934189488,0.248302121500865,1.79540283933914,0.76985925759856,-82559.8445977347,348431.583728172,82684.4423949854,255697.771043754,"Nedgang","Stabil","Sterk økning","Moderat økning","pop_Nedgang_bpc_Sterk økning","pop_Stabil_bpc_Moderat økning","c) Nedgang-spredning","e) Moderat arealvekst",1.47917527215204,1.23953346353975,0,34,692,-2.4,-9,0.933262874,4,0.066737126,79.8146495503536,3.35552962174779,0.219674606988398,144434.437656544,728966371.397746,"Søndre Land",0,"0"
5056,"Hitra",4193872.82608695,4571266.30434782,5051585.27667984,4923,5156,6356,0.377393478260871,0.48031897233202,233,1200,851.893728638422,886.591602860322,794.774272605387,0.21041644854396,0.750078254404518,0.181631403512816,-0.389689840016005,202537.798962556,174855.679298315,1005897.26528373,-525578.292951709,"Stabil","Vekst","Liten endring","Liten endring","pop_Stabil_bpc_Liten endring","pop_Vekst_bpc_Liten endring","d) Stillstand i utbygd areal","g) Arealeffektiv vekst",1.04073028484123,0.896437852604611,1,50,551,10.7,10.2,0.910266763,6,0.089733237,14.8775456091678,1.03214791533283,0.0355690071073343,1683788.25065946,757053852.749238,"Hitra",0,"0"
3234,"Lunner",1746899.99999999,2195178.26086956,2765714.22924901,8264,9144,10220,0.44827826086957,0.57053596837945,880,1076,211.386737657308,240.067613830879,270.617830650588,0.461010282583296,0.398106985656876,0.579999486313443,0.428727125759742,198585.165397342,249693.095472228,274725.390160148,295810.578219302,"Vekst","Vekst","Moderat økning","Moderat økning","pop_Vekst_bpc_Moderat økning","pop_Vekst_bpc_Moderat økning","i) Rask vekst i utbygd areal","i) Rask vekst i utbygd areal",1.13567963861606,1.1272567187727,0,32,785,4.8,2.1,0.923440133,3,0.0765598669999999,77.4910910087719,9.78961074561404,0.812088815789474,97192.3099399499,292022660.039681,"Lunner",0,"0"
4640,"Sogndal",4134609.78260871,4134609.78360871,4134609.78460871,10362,12097,13889,0,0,1735,1792,399.016578132475,341.788028735117,297.689522975643,0.70617363653398,0.494574975697293,-0.701221792005835,-0.492140968756871,640088.326217294,-640088.325217294,571153.8252195,-571153.824219498,"Vekst","Vekst","Liten endring","Liten endring","pop_Vekst_bpc_Liten endring","pop_Vekst_bpc_Liten endring","g) Arealeffektiv vekst","g) Arealeffektiv vekst",0.856576010788308,0.870977032394398,1,46,659,10.2,11.8,0.942303796,5,0.057696204,34.4300806604927,1.68314277178784,0.19825642975476,396917.351917318,1262793486.5406,"Sogndal",0,"0"
