"kommunenummer","KomNavn","pop2000","pop2022","pop2034","pop2050","pop_change_2000_2022","pop_change_2022_2034","pop_change_2022_2050","km2_2000","km2_2022","km2_2034","km2_2050","km2_change_2000_2022","km2_change_2022_2034","km2_change_2022_2050"
1119,"Hå",13921,19296,20614,21551,5375,1318,2255,8.70734347826084,11.2692130434782,12.6665964426877,14.5297743083004,2.56186956521736,1.3973833992095,3.2605612648222
4028,"Kviteseid",2667,2452,2505,2513,-215,53,61,0.909332608695635,1.5803804347826,1.94640652173913,2.43444130434782,0.671047826086965,0.36602608695653,0.85406086956522
4631,"Alver",22430,29593,30727,31835,7163,1134,2242,9.72003913043471,13.0439347826087,14.8569687747036,17.27434743083,3.32389565217399,1.8130339920949,4.2304126482213
5618,"Måsøy",1477,1162,1239,1334,-315,77,172,0.485315217391306,0.439336956521739,0.41425790513834,0.380819169960474,-0.045978260869567,-0.025079051383399,-0.058517786561265
3901,"Horten",23764,27502,28740,29859,3738,1238,2357,8.61823369565212,10.3594010869565,11.3091287549407,12.5754323122529,1.74116739130438,0.949727667984199,2.2160312252964
1563,"Sunndal",7368,6932,7219,6812,-436,287,-120,8.52389021739132,8.44666630434782,8.40454416996047,8.34838132411067,-0.0772239130435004,-0.0421221343873501,-0.0982849802371497
3226,"Aurskog-Høland",13235,17754,19010,20818,4519,1256,3064,5.55333260869565,7.40533695652175,8.41552114624505,9.76243339920948,1.8520043478261,1.0101841897233,2.35709644268773
3903,"Holmestrand",19652,25681,30218,33427,6029,4537,7746,11.2231858695652,13.2974315217391,14.4288382411067,15.9373805335968,2.0742456521739,1.1314067193676,2.6399490118577
4022,"Seljord",2928,2889,2963,2930,-39,74,41,1.18919347826085,1.57951956521739,1.79242470355732,2.07629822134387,0.39032608695654,0.21290513833993,0.49677865612648
4636,"Solund",959,768,760,778,-191,-8,10,0.442780434782609,0.421454347826087,0.409821936758893,0.394312055335968,-0.021326086956522,-0.011632411067194,-0.027142292490119
5052,"Leka",714,570,678,704,-144,108,134,0.0419282608695651,0.0478369565217391,0.0510598814229249,0.0553571146245059,0.005908695652174,0.00322292490118579,0.00752015810276679
3330,"Hol",4642,4504,4734,4891,-138,230,387,3.39438913043478,3.73314130434781,3.91791521739131,4.1642804347826,0.33875217391303,0.1847739130435,0.43113913043479
3412,"Løten",7188,7715,8311,8558,527,596,843,1.21587065217389,1.86447717391304,2.21826254940712,2.6899763833992,0.64860652173915,0.35378537549408,0.82549920948616
5612,"Guovdageaidnu - Kautokeino",3068,2877,2710,2550,-191,-167,-327,1.61693804347827,1.29538369565218,1.11999041501976,0.88613270750988,-0.32155434782609,-0.17539328063242,-0.4092509881423
1816,"Vevelstad",592,462,531,534,-130,69,72,0.347341304347831,0.269354347826087,0.226816007905138,0.170098221343873,-0.077986956521744,-0.042538339920949,-0.099256126482214
1135,"Sauda",5081,4525,4397,4162,-556,-128,-363,1.63714891304348,1.73816413043478,1.79326333992095,1.86672895256917,0.1010152173913,0.0550992094861702,0.12856482213439
5060,"Nærøysund",9220,9732,9998,9876,512,266,144,1.80388369565216,2.55015978260869,2.95721946640316,3.49996571146244,0.74627608695653,0.40705968379447,0.94980592885375
4003,"Skien",49592,55513,58972,60551,5921,3459,5038,15.0350576086955,19.543177173913,22.0021514822134,25.2807838932806,4.5081195652175,2.4589743083004,5.7376067193676
3414,"Nord-Odal",5089,5016,4858,4824,-73,-158,-192,0.776924999999991,1.10407499999999,1.28252045454546,1.52044772727273,0.327149999999999,0.17844545454547,0.41637272727274
5045,"Grong",2565,2287,2438,2466,-278,151,179,0.580196739130436,0.490177173913043,0.441075592885376,0.375606818181819,-0.090019565217393,-0.049101581027667,-0.114570355731224
4223,"Vennesla",12141,15123,16371,17307,2982,1248,2184,3.33943043478257,4.79445652173911,5.5881071146245,6.64630790513832,1.45502608695654,0.79365059288539,1.85185138339921
3222,"Lørenskog",29505,44693,56641,63803,15188,11948,19110,6.9193663043478,8.31630326086956,9.0782688735178,10.0942230237154,1.39693695652176,0.76196561264824,1.77791976284584
1866,"Hadsel",8321,8107,8252,8057,-214,145,-50,0.694418478260866,0.813903260869562,0.879076778656126,0.96597480237154,0.119484782608696,0.065173517786564,0.152071541501978
1133,"Hjelmeland",2756,2534,2689,2680,-222,155,146,1.20447391304348,1.44520434782608,1.57651185770751,1.7515885375494,0.2407304347826,0.13130750988143,0.30638418972332
5021,"Oppdal",6288,7066,7551,7501,778,485,435,4.51758913043479,4.65074999999999,4.72338320158103,4.82022747035573,0.1331608695652,0.0726332015810405,0.169477470355741
5526,"Sørreisa",3294,3414,3531,3422,120,117,8,0.546622826086955,0.668064130434782,0.734304841897234,0.822625790513834,0.121441304347827,0.066240711462452,0.154561660079052
5025,"Røros - Rossen",5545,5572,5945,6018,27,373,446,1.87895543478261,1.74381847826087,1.67010741106719,1.57182598814229,-0.13513695652174,-0.07371106719368,-0.17199249011858
3214,"Frogn",12972,16084,16930,18101,3112,846,2017,3.6796304347826,4.79242173913043,5.39939881422926,6.20870158102766,1.11279130434783,0.60697707509883,1.41627984189723
4650,"Gloppen",5769,5875,5857,5715,106,-18,-160,3.6569641304348,3.227175,2.99274456521739,2.68017065217391,-0.4297891304348,-0.23443043478261,-0.54700434782609
1514,"Sande",3081,2422,2401,2375,-659,-21,-47,0.777453260869567,0.69666847826087,0.6526040513834,0.593851482213439,-0.080784782608697,-0.0440644268774699,-0.102816996047431
4642,"Lærdal",2202,2117,2188,2152,-85,71,35,5.16885652173913,6.04420434782607,6.52166679841897,7.15828339920948,0.87534782608694,0.4774624505929,1.11407905138341
1505,"Kristiansund",22124,24013,24628,24346,1889,615,333,6.68374239130432,8.41997934782609,9.36701768774704,10.6297354743083,1.73623695652177,0.947038339920951,2.20975612648221
4221,"Valle",1439,1169,1213,1187,-270,44,18,1.12200652173913,1.25281956521739,1.32417213438735,1.41930889328063,0.13081304347826,0.0713525691699601,0.16648932806324
3449,"Sør-Aurdal",3389,2889,2710,2625,-500,-179,-264,0.814861956521739,0.819538043478261,0.822088636363636,0.82548942687747,0.004676086956522,0.00255059288537507,0.00595138339920898
3240,"Eidsvoll",17524,26716,31365,35067,9192,4649,8351,5.12444347826079,8.72037391304343,10.681790513834,13.2970126482213,3.59593043478264,1.96141660079057,4.57663873517787
4645,"Askvoll",3349,2951,2938,2788,-398,-13,-163,0.977057608695654,0.948472826086955,0.932881126482213,0.912092193675889,-0.0285847826086989,-0.015591699604742,-0.036380632411066
3322,"Nesbyen",3528,3273,3174,3050,-255,-99,-223,1.21608586956522,1.0687402173913,0.988369861660079,0.881209387351778,-0.14734565217392,-0.0803703557312211,-0.187530830039522
1106,"Haugesund",30362,37444,39919,41120,7082,2475,3676,10.3432597826087,10.9289054347826,11.2483485177866,11.6742726284585,0.5856456521739,0.319443083004,0.7453671936759
1576,"Aure",3823,3384,3378,3243,-439,-6,-141,1.96046413043479,1.85764891304348,1.80156788537549,1.72679318181818,-0.10281521739131,-0.0560810276679899,-0.1308557312253
3419,"Våler (Innlandet)",4063,3597,3557,3502,-466,-40,-95,1.70210543478261,1.81916413043478,1.88301432806324,1.96814792490119,0.11705869565217,0.06385019762846,0.14898379446641
1836,"Rødøy",1570,1153,1076,982,-417,-77,-171,0.661030434782621,0.400813043478262,0.258876284584979,0.0696272727272724,-0.260217391304359,-0.141936758893283,-0.33118577075099
4010,"Siljan",2269,2349,2506,2674,80,157,325,0.507824999999993,0.704983695652171,0.812524802371542,0.95591294466403,0.197158695652178,0.107541106719371,0.250929249011859
3415,"Sør-Odal",7349,7978,8570,9034,629,592,1056,2.05863260869562,3.47057608695651,4.2407270750988,5.26759505928853,1.41194347826089,0.77015098814229,1.79701897233202
1508,"Ålesund",45776,57690,60456,62151,11914,2766,4461,9.96990652173906,12.6762847826087,14.1524911067193,16.1207662055336,2.70637826086964,1.4762063241106,3.4444814229249
4617,"Kvinnherad",13196,13017,12515,11876,-179,-502,-1141,6.05640326086957,6.07810108695652,6.08993626482213,6.10571650197628,0.0216978260869505,0.0118351778656098,0.0276154150197598
1532,"Giske",6344,8597,9101,9747,2253,504,1150,1.56496304347824,2.36169782608694,2.79628043478261,3.37572391304349,0.7967347826087,0.43458260869567,1.01402608695655
4628,"Vaksdal",4192,3867,3736,3614,-325,-131,-253,1.21096956521739,1.23084782608696,1.24169051383399,1.25614743083004,0.01987826086957,0.01084268774703,0.02529960474308
3122,"Marker",3300,3578,3755,3988,278,177,410,1.85312934782608,2.87335760869566,3.42984575098814,4.17182994071146,1.02022826086958,0.55648814229248,1.2984723320158
5049,"Flatanger",1238,1101,1177,1210,-137,76,109,0.393006521739128,0.506836956521738,0.568926284584979,0.651712055335969,0.11383043478261,0.062089328063241,0.144875098814231
5053,"Inderøy",6727,6794,7254,7346,67,460,552,1.40800108695652,1.69793804347826,1.8560854743083,2.06694871541502,0.28993695652174,0.15814743083004,0.36901067193676
3434,"Lom",2567,2211,2090,1916,-356,-121,-295,10.2320510869566,10.5595141304347,10.7381303359684,10.9762852766798,0.327463043478099,0.1786162055337,0.4167711462451
5036,"Frosta",2430,2608,2739,2872,178,131,264,1.37229456521739,1.468575,1.52109160079052,1.59111373517787,0.0962804347826101,0.05251660079052,0.12253873517787
3401,"Kongsvinger",17349,17949,18285,18346,600,336,397,4.37052717391302,5.17440326086955,5.61288112648222,6.19751828063242,0.80387608695653,0.43847786561267,1.02311501976287
4630,"Osterøy",7006,8131,8223,8340,1125,92,209,1.53426521739131,1.5540652173913,1.5648652173913,1.5792652173913,0.01979999999999,0.0107999999999999,0.0251999999999999
5035,"Stjørdal",18238,24287,25363,26298,6049,1076,2011,7.58051413043476,8.6932858695652,9.30025227272727,10.1095408102767,1.11277173913044,0.606966403162071,1.4162549407115
1874,"Moskenes",1352,982,1030,1128,-370,48,146,0.181594565217391,0.211275,0.227464328063241,0.249050098814229,0.029680434782609,0.016189328063241,0.037775098814229
4034,"Tokke",2506,2140,2203,2171,-366,63,31,0.674227173913032,1.00728586956521,1.18895424901186,1.43117875494071,0.333058695652178,0.18166837944665,0.4238928853755
4602,"Kinn",17705,17131,17084,16489,-574,-47,-642,8.16133695652174,8.5526804347826,8.76614051383399,9.05075395256917,0.391343478260859,0.213460079051391,0.498073517786571
3426,"Tolga",1812,1551,1580,1477,-261,29,-74,0.570042391304349,0.488983695652173,0.444769861660079,0.385818083003952,-0.081058695652176,-0.044213833992094,-0.103165612648221
5057,"Ørland",9733,10371,10853,11228,638,482,857,5.65627499999997,7.89169891304346,9.11102104743083,10.7367838932806,2.23542391304349,1.21932213438737,2.84508498023714
3407,"Gjøvik",27013,30267,32370,33447,3254,2103,3180,6.44046847826086,7.09427934782609,7.45090345849802,7.92640227272727,0.65381086956523,0.35662411067193,0.83212292490118
4623,"Samnanger",2282,2501,2502,2523,219,1,22,0.882450000000002,0.812210869565217,0.77389861660079,0.722815612648222,-0.0702391304347849,-0.0383122529644271,-0.089395256916995
5601,"Alta",16837,21144,22671,23062,4307,1527,1918,6.56671304347823,7.96867826086957,8.73338656126481,9.75299762845849,1.40196521739134,0.76470830039524,1.78431936758892
1804,"Bodø",42465,52803,55351,56427,10338,2548,3624,5.1265760869565,5.75058913043478,6.09095988142292,6.54478754940711,0.62401304347828,0.34037075098814,0.79419841897233
3427,"Tynset",5473,5581,5754,5708,108,173,127,1.97015869565218,1.86313695652174,1.80476146245059,1.72692747035573,-0.10702173913044,-0.0583754940711498,-0.13620948616601
3318,"Krødsherad",2254,2189,2312,2334,-65,123,145,0.805783695652172,0.955320652173912,1.03688626482213,1.14564041501976,0.14953695652174,0.0815656126482179,0.190319762845848
1577,"Volda",9549,10809,12037,12551,1260,1228,1742,2.38606630434783,2.39935108695652,2.40659733201581,2.41625899209486,0.0132847826086899,0.00724624505929006,0.0169079051383401
3212,"Nesodden",15448,19939,21887,23653,4491,1948,3714,3.17995434782608,4.68041086956521,5.49884169960472,6.59008280632409,1.50045652173913,0.818430830039509,1.90967193675888
5524,"Målselv",7054,6599,7034,7087,-455,435,488,7.59271304347825,8.0457652173913,8.29288458498024,8.62237707509881,0.453052173913051,0.247119367588938,0.576611857707508
3334,"Flesberg",2491,2720,3056,3275,229,336,555,0.938641304347819,1.41223695652173,1.67056185770751,2.01499505928854,0.473595652173911,0.25832490118578,0.60275810276681
3224,"Rælingen",14493,19024,22962,25355,4531,3938,6331,2.37766304347824,3.42819782608696,4.00121679841897,4.76524209486166,1.05053478260872,0.57301897233201,1.3370442687747
3101,"Halden",26733,31444,33062,34707,4711,1618,3263,9.67871739130419,13.4594217391303,15.521624110672,18.2712272727273,3.78070434782611,2.0622023715417,4.811805533597
1144,"Kvitsøy",523,523,607,680,0,84,157,0.277248913043477,0.315264130434782,0.335999703557313,0.363647134387352,0.038015217391305,0.020735573122531,0.04838300395257
4036,"Vinje",3869,3755,3954,3962,-114,199,207,2.58826304347825,3.13010217391304,3.42565079051384,3.81971561264822,0.54183913043479,0.2955486166008,0.68961343873518
5610,"Kárásjohka - Karasjok",2901,2584,2469,2321,-317,-115,-263,1.99405760869565,2.13428152173912,2.21076729249012,2.3127483201581,0.14022391304347,0.0764857707509998,0.17846679841898
1835,"Træna",466,450,522,567,-16,72,117,0.0676663043478261,0.0824380434782608,0.0904953557312253,0.101238438735178,0.0147717391304347,0.00805731225296451,0.0188003952569172
1127,"Randaberg",8773,11454,12762,13892,2681,1308,2438,2.87862065217391,3.64403152173914,4.0615283596838,4.61819081027668,0.76541086956523,0.41749683794466,0.97415928853754
4625,"Austevoll",4406,5283,5226,5218,877,-57,-65,2.2601152173913,2.87379782608695,3.2085337944664,3.65484841897233,0.61368260869565,0.33473596837945,0.78105059288538
3201,"Bærum",101494,128982,137655,148099,27488,8673,19117,20.0334228260869,22.885229347826,24.4407601778656,26.514801284585,2.8518065217391,1.5555308300396,3.629571936759
3439,"Ringebu",4752,4385,4337,4221,-367,-48,-164,1.78708695652174,1.92498260869565,2.00019841897233,2.10048616600791,0.13789565217391,0.0752158102766798,0.17550355731226
1114,"Bjerkreim",2456,2789,3030,3026,333,241,237,0.992455434782599,1.5466402173913,1.84892282608696,2.25196630434783,0.554184782608701,0.30228260869566,0.70532608695653
5034,"Meråker",2637,2399,2557,2642,-238,158,243,0.714952173913046,0.616030434782608,0.562073122529644,0.490130039525692,-0.098921739130438,-0.053957312252964,-0.125900395256916
4026,"Tinn",6560,5512,5334,5157,-1048,-178,-355,1.28914239130434,1.62036195652174,1.80102717391304,2.04191413043478,0.3312195652174,0.1806652173913,0.42155217391304
5530,"Senja",15011,14738,14813,14579,-273,75,-159,3.6776054347826,4.24544673913043,4.5551783596838,4.96815385375494,0.56784130434783,0.30973162055337,0.72270711462451
1841,"Fauske - Fuossko",9632,9603,9980,9644,-29,377,41,3.39294130434783,3.43062391304348,3.45117806324111,3.47858359683794,0.0376826086956501,0.0205541501976301,0.0479596837944598
