"kommunenummer","KomNavn","km2_2000","km2_2001","km2_2002","km2_2003","km2_2004","km2_2005","km2_2006","km2_2007","km2_2008","km2_2009","km2_2010","km2_2011","km2_2012","km2_2013","km2_2014","km2_2015","km2_2016","km2_2017","km2_2018","km2_2019","km2_2020","km2_2021","km2_2022","km2_2023","km2_2024","km2_2025","km2_2026","km2_2027","km2_2028","km2_2029","km2_2030","km2_2031","km2_2032","km2_2033","km2_2034","km2_2035","km2_2036","km2_2037","km2_2038","km2_2039","km2_2040","km2_2041","km2_2042","km2_2043","km2_2044","km2_2045","km2_2046","km2_2047","km2_2048","km2_2049","km2_2050"
4601,"Bergen",53.982,55.5264,56.9583,54.6831,54.0693,54.2817,53.8731,54.036,54.8586,53.5545,55.2249,54.2277,54.4527,55.2618,55.602,55.7316,53.7876,53.289,53.8587,53.73,54.5643,55.6659,56.3031,54.6933023715415,54.6948373517787,54.6963723320158,54.697907312253,54.6994422924901,54.7009772727273,54.7025122529644,54.7040472332016,54.7055822134387,54.7071171936759,54.708652173913,54.7101871541502,54.7117221343874,54.7132571146245,54.7147920948617,54.7163270750988,54.717862055336,54.7193970355731,54.7209320158103,54.7224669960474,54.7240019762846,54.7255369565217,54.7270719367589,54.728606916996,54.7301418972332,54.7316768774704,54.7332118577075,54.7347468379447
1820,"Alstahaug",0.5715,0.6975,0.6201,0.6561,0.5751,0.6264,0.6093,0.6723,0.6588,0.6993,0.7794,0.7002,0.7857,0.7641,0.6489,0.6786,0.6561,0.7299,0.7497,0.7767,0.7344,0.81,0.8892,0.804141106719365,0.812858300395254,0.821575494071143,0.830292687747033,0.839009881422922,0.847727075098811,0.8564442687747,0.86516146245059,0.873878656126479,0.882595849802368,0.891313043478257,0.90003023715415,0.908747430830039,0.917464624505928,0.926181818181817,0.934899011857707,0.943616205533596,0.952333399209485,0.961050592885374,0.969767786561263,0.978484980237153,0.987202173913042,0.995919367588931,1.00463656126482,1.01335375494071,1.0220709486166,1.03078814229249,1.03950533596838
3422,"Åmot",2.4057,2.4453,2.3769,2.3094,2.4714,2.9583,2.9232,2.7702,2.871,3.0906,3.0645,3.1212,3.4758,3.4956,3.2778,3.0753,3.1221,3.1518,3.0726,3.2751,3.411,3.1905,2.9772,3.45473715415019,3.49505039525691,3.53536363636363,3.57567687747036,3.61599011857708,3.6563033596838,3.69661660079052,3.73692984189723,3.77724308300395,3.81755632411067,3.85786956521739,3.89818280632411,3.93849604743083,3.97880928853754,4.01912252964426,4.05943577075098,4.0997490118577,4.14006225296442,4.18037549407115,4.22068873517787,4.26100197628459,4.30131521739131,4.34162845849802,4.38194169960474,4.42225494071146,4.46256818181818,4.5028814229249,4.54319466403162
1806,"Narvik",13.0824,14.6115,15.4116,14.0013,14.1813,14.6025,14.3694,14.5413,13.8582,16.0479,15.9921,16.5501,13.2741,13.3983,12.9978,12.4794,12.3534,13.356,13.3551,13.8114,14.8761,14.409,13.7511,13.6317592885375,13.5890750988142,13.5463909090909,13.5037067193676,13.4610225296443,13.4183383399209,13.3756541501976,13.3329699604743,13.290285770751,13.2476015810277,13.2049173913043,13.162233201581,13.1195490118577,13.0768648221344,13.0341806324111,12.9914964426877,12.9488122529644,12.9061280632411,12.8634438735178,12.8207596837945,12.7780754940711,12.7353913043478,12.6927071146245,12.6500229249012,12.6073387351779,12.5646545454545,12.5219703557312,12.4792861660079
1120,"Klepp",6.093,6.2757,6.4746,6.5691,6.6573,6.8778,6.9921,6.9678,7.5672,7.749,8.0001,7.8795,7.956,8.1387,8.3259,8.2647,8.3763,8.2863,8.3439,8.2818,8.2233,8.478,8.3907,8.94545928853753,9.05624466403162,9.16703003952567,9.27781541501976,9.38860079051382,9.4993861660079,9.61017154150196,9.72095691699605,9.83174229249011,9.94252766798417,10.0533130434783,10.1640984189723,10.2748837944664,10.3856691699605,10.4964545454545,10.6072399209486,10.7180252964427,10.8288106719367,10.9395960474308,11.0503814229249,11.161166798419,11.271952173913,11.3827375494071,11.4935229249012,11.6043083003953,11.7150936758893,11.8258790513834,11.9366644268775
5028,"Melhus",3.7242,3.852,3.942,4.2462,4.2039,4.2759,4.2831,4.1697,3.7521,3.8448,3.9492,4.1229,4.3965,4.4316,4.5639,4.5297,4.5873,4.1751,4.4127,4.689,4.7511,4.7682,4.6296,4.72239960474309,4.7597709486166,4.79714229249012,4.83451363636364,4.87188498023716,4.90925632411067,4.94662766798419,4.98399901185771,5.02137035573123,5.05874169960474,5.09611304347826,5.13348438735178,5.17085573122529,5.20822707509881,5.24559841897234,5.28296976284586,5.32034110671937,5.35771245059289,5.39508379446641,5.43245513833993,5.46982648221344,5.50719782608696,5.54456916996048,5.581940513834,5.61931185770751,5.65668320158103,5.69405454545455,5.73142588932806
3447,"Søndre Land",0.792,0.8028,0.8001,0.792,0.8163,0.8199,0.7839,0.8136,0.8316,0.8721,0.828,0.8127,0.9234,0.99,1.0746,0.9909,0.9657,0.9531,0.9261,1.0197,1.0188,1.0143,0.981,1.0416557312253,1.05374081027668,1.06582588932806,1.07791096837945,1.08999604743083,1.10208112648221,1.1141662055336,1.12625128458498,1.13833636363636,1.15042144268775,1.16250652173913,1.17459160079051,1.1866766798419,1.19876175889328,1.21084683794466,1.22293191699604,1.23501699604743,1.24710207509881,1.2591871541502,1.27127223320158,1.28335731225296,1.29544239130435,1.30752747035573,1.31961254940711,1.3316976284585,1.34378270750988,1.35586778656126,1.36795286561265
5056,"Hitra",4.0176,4.0851,4.3047,4.4379,4.2768,4.2759,4.3596,4.6431,4.3065,4.1292,3.9546,4.1976,4.4694,4.7439,4.8978,4.2975,4.3704,4.743,4.3911,4.3857,4.1832,4.4901,4.8384,4.58842055335968,4.60557480237154,4.6227290513834,4.63988330039526,4.65703754940711,4.67419179841897,4.69134604743083,4.70850029644269,4.72565454545455,4.7428087944664,4.75996304347826,4.77711729249012,4.79427154150198,4.81142579051383,4.82858003952569,4.84573428853755,4.86288853754941,4.88004278656126,4.89719703557312,4.91435128458498,4.93150553359684,4.94865978260869,4.96581403162055,4.98296828063241,5.00012252964427,5.01727677865613,5.03443102766798,5.05158527667984
3234,"Lunner",1.8639,1.8891,1.7991,1.7028,1.4949,1.6272,1.89,1.9845,1.9701,2.1384,2.1294,2.0547,1.9422,1.9395,1.9827,1.9512,2.0691,2.1402,2.0295,2.2275,2.2428,2.1276,2.1375,2.21555454545455,2.23593083003953,2.25630711462451,2.27668339920949,2.29705968379447,2.31743596837945,2.33781225296443,2.35818853754941,2.37856482213439,2.39894110671937,2.41931739130435,2.43969367588933,2.46006996047431,2.48044624505929,2.50082252964427,2.52119881422925,2.54157509881423,2.56195138339921,2.58232766798419,2.60270395256917,2.62308023715416,2.64345652173913,2.66383280632411,2.6842090909091,2.70458537549407,2.72496166007905,2.74533794466404,2.76571422924901
4640,"Sogndal",3.6819,3.9258,3.9159,4.3119,4.2759,4.2156,4.0617,4.2399,4.1184,4.2912,4.113,4.4127,3.8493,4.0014,4.0662,3.9258,3.8277,3.8457,3.7998,3.9213,3.888,3.9906,3.7917,3.89600750988143,3.88563349802372,3.87525948616601,3.8648854743083,3.85451146245059,3.84413745059289,3.83376343873518,3.82338942687747,3.81301541501976,3.80264140316206,3.79226739130435,3.78189337944664,3.77151936758893,3.76114535573123,3.75077134387352,3.74039733201581,3.73002332015811,3.71964930830039,3.70927529644269,3.69890128458498,3.68852727272728,3.67815326086957,3.66777924901186,3.65740523715415,3.64703122529644,3.63665721343874,3.62628320158103,3.61590918972332
3320,"Flå",0.585,0.6021,0.6255,0.6561,0.621,0.6174,0.6138,0.6984,0.666,0.684,0.7254,0.7281,0.738,0.7488,0.7749,0.7011,0.7389,0.6678,0.6705,0.6642,0.6534,0.7137,0.7956,0.747409090909091,0.752846442687747,0.758283794466403,0.76372114624506,0.769158498023716,0.774595849802371,0.780033201581027,0.785470553359684,0.79090790513834,0.796345256916996,0.801782608695653,0.807219960474308,0.812657312252964,0.81809466403162,0.823532015810277,0.828969367588933,0.834406719367588,0.839844071146246,0.845281422924901,0.850718774703557,0.856156126482214,0.86159347826087,0.867030830039525,0.872468181818181,0.877905533596838,0.883342885375494,0.88878023715415,0.894217588932807
1865,"Vågan",0.8766,0.9126,0.8577,1.0512,0.9558,0.9198,0.963,1.1304,1.1754,1.1007,1.1097,1.0863,1.1331,1.0917,1.1124,1.0107,0.9477,0.9054,0.8136,1.0206,0.873,0.7209,0.8325,0.931300790513834,0.927022233201583,0.922743675889329,0.918465118577076,0.914186561264823,0.909908003952571,0.905629446640317,0.901350889328065,0.897072332015811,0.892793774703559,0.888515217391305,0.884236660079052,0.8799581027668,0.875679545454547,0.871400988142293,0.86712243083004,0.862843873517788,0.858565316205535,0.854286758893281,0.850008201581029,0.845729644268776,0.841451086956523,0.837172529644269,0.832893972332017,0.828615415019764,0.824336857707511,0.820058300395258,0.815779743083004
5616,"Hasvik",0.2151,0.2529,0.2223,0.2304,0.2286,0.1998,0.1926,0.1764,0.1746,0.1692,0.1728,0.1854,0.1782,0.1647,0.1737,0.1782,0.1773,0.1539,0.1467,0.1368,0.2178,0.1863,0.1683,0.15272252964427,0.149862450592885,0.147002371541502,0.144142292490119,0.141282213438736,0.138422134387352,0.135562055335969,0.132701976284585,0.129841897233202,0.126981818181819,0.124121739130435,0.121261660079052,0.118401581027668,0.115541501976285,0.112681422924901,0.109821343873518,0.106961264822135,0.104101185770752,0.101241106719368,0.0983810276679843,0.0955209486166011,0.0926608695652179,0.0898007905138346,0.0869407114624506,0.0840806324110674,0.0812205533596842,0.0783604743083009,0.0755003952569177
1859,"Flakstad",0.1638,0.1764,0.1638,0.216,0.1881,0.1737,0.1584,0.1935,0.1827,0.1764,0.1926,0.1935,0.2331,0.2124,0.2241,0.2115,0.2331,0.2142,0.1917,0.2331,0.1989,0.1737,0.1989,0.216704347826087,0.218445652173913,0.220186956521739,0.221928260869565,0.223669565217391,0.225410869565217,0.227152173913043,0.22889347826087,0.230634782608696,0.232376086956522,0.234117391304348,0.235858695652174,0.2376,0.239341304347826,0.241082608695652,0.242823913043478,0.244565217391304,0.246306521739131,0.248047826086957,0.249789130434783,0.251530434782609,0.253271739130435,0.255013043478261,0.256754347826087,0.258495652173913,0.260236956521739,0.261978260869565,0.263719565217391
3105,"Sarpsborg",19.8981,19.4661,19.7145,20.0817,20.4561,20.5209,21.105,19.8981,21.3993,21.933,22.2309,21.8124,22.1787,22.4685,22.5765,23.0364,23.1795,24.5664,24.3693,23.7789,23.7141,23.3037,23.5341,24.6114889328063,24.8319311264822,25.0523733201581,25.272815513834,25.4932577075099,25.7136999011858,25.9341420948617,26.1545842885376,26.3750264822135,26.5954686758893,26.8159108695652,27.0363530632411,27.256795256917,27.4772374505929,27.6976796442688,27.9181218379447,28.1385640316206,28.3590062252964,28.5794484189724,28.7998906126482,29.0203328063241,29.240775,29.4612171936759,29.6816593873518,29.9021015810277,30.1225437747036,30.3429859683794,30.5634281620553
1525,"Stranda",2.439,2.5173,2.6964,2.8539,2.8647,2.8755,2.7513,2.9556,2.6505,2.8935,2.9358,3.0708,2.7027,2.6829,2.5767,2.5812,2.574,2.682,2.6955,2.763,2.6667,2.601,2.6496,2.6843371541502,2.68093191699605,2.6775266798419,2.67412144268775,2.6707162055336,2.66731096837945,2.6639057312253,2.66050049407115,2.65709525691699,2.65369001976284,2.65028478260869,2.64687954545454,2.64347430830039,2.64006907114624,2.63666383399209,2.63325859683794,2.62985335968379,2.62644812252964,2.62304288537549,2.61963764822134,2.61623241106719,2.61282717391304,2.60942193675889,2.60601669960474,2.60261146245059,2.59920622529644,2.59580098814229,2.59239575098814
5534,"Karlsøy",2.3103,2.4822,2.7477,2.7549,2.6154,2.7693,2.7819,2.6712,2.4093,2.6019,2.655,2.7171,2.5623,2.6631,2.673,2.6991,2.5965,2.646,2.5965,2.8638,2.9304,2.7873,2.4372,2.72321146245059,2.72923488142293,2.73525830039526,2.74128171936759,2.74730513833992,2.75332855731225,2.75935197628459,2.76537539525692,2.77139881422925,2.77742223320158,2.78344565217391,2.78946907114625,2.79549249011858,2.80151590909091,2.80753932806324,2.81356274703557,2.81958616600791,2.82560958498024,2.83163300395257,2.8376564229249,2.84367984189723,2.84970326086957,2.8557266798419,2.86175009881423,2.86777351778656,2.87379693675889,2.87982035573123,2.88584377470356
3218,"Ås",5.0274,5.2731,5.184,5.2272,5.5044,5.7564,5.9391,5.7915,5.7699,6.21,6.2001,6.2181,5.904,6.0201,6.2451,6.5934,6.5871,7.0281,7.0443,6.9849,7.1415,7.128,6.7995,7.2859019762846,7.38009960474309,7.47429723320158,7.5684948616601,7.66269249011859,7.75689011857708,7.85108774703557,7.94528537549408,8.03948300395258,8.13368063241107,8.22787826086958,8.32207588932807,8.41627351778656,8.51047114624505,8.60466877470357,8.69886640316206,8.79306403162055,8.88726166007907,8.98145928853756,9.07565691699605,9.16985454545457,9.26405217391305,9.35824980237154,9.45244743083004,9.54664505928855,9.64084268774704,9.73504031620553,9.82923794466405
3411,"Ringsaker",8.8695,8.9694,8.3133,8.0838,8.3259,8.5959,8.6094,8.7975,8.8803,9.3168,8.6976,9.1566,9.4968,9.5949,9.9099,9.7074,9.7974,10.4913,10.836,11.3607,11.6541,11.5272,11.3229,11.3790699604742,11.529084486166,11.6790990118577,11.8291135375494,11.979128063241,12.1291425889327,12.2791571146245,12.4291716403162,12.5791861660079,12.7292006916995,12.8792152173913,13.029229743083,13.1792442687747,13.3292587944663,13.479273320158,13.6292878458498,13.7793023715415,13.9293168972331,14.0793314229248,14.2293459486166,14.3793604743083,14.5293749999999,14.6793895256916,14.8294040513834,14.9794185770751,15.1294331027668,15.2794476284584,15.4294621541501
4227,"Kvinesdal",1.584,1.6704,1.6767,1.7037,1.6497,1.6983,1.7478,1.8405,1.8423,1.8693,1.9368,1.9026,1.9647,1.9593,1.9575,1.9521,2.0565,2.0673,2.061,2.0979,2.0358,2.0574,2.1492,2.17634940711462,2.20017272727272,2.22399604743083,2.24781936758893,2.27164268774704,2.29546600790514,2.31928932806324,2.34311264822134,2.36693596837944,2.39075928853754,2.41458260869565,2.43840592885375,2.46222924901186,2.48605256916996,2.50987588932806,2.53369920948616,2.55752252964427,2.58134584980237,2.60516916996047,2.62899249011857,2.65281581027668,2.67663913043478,2.70046245059289,2.72428577075099,2.74810909090909,2.77193241106719,2.79575573122529,2.81957905138339
3305,"Ringerike",8.7003,8.7777,9.4851,9.864,9.7074,9.0792,8.9964,9.6336,9.9,10.2114,9.8028,10.2267,10.2789,10.5156,10.8513,10.5372,10.5831,10.9899,11.0358,10.7802,11.2311,11.6361,11.5047,11.5960055335969,11.7133230237154,11.830640513834,11.9479580039526,12.0652754940712,12.1825929841897,12.2999104743083,12.4172279644269,12.5345454545455,12.651862944664,12.7691804347826,12.8864979249012,13.0038154150198,13.1211329051383,13.2384503952569,13.3557678853755,13.4730853754941,13.5904028656127,13.7077203557312,13.8250378458498,13.9423553359684,14.059672826087,14.1769903162055,14.2943078063241,14.4116252964427,14.5289427865613,14.6462602766798,14.7635777667984
4611,"Etne",1.71,1.7145,1.8135,1.7973,1.7415,1.7766,1.8324,1.9368,1.9593,1.9818,2.1654,2.2122,2.1447,2.0781,2.1402,2.1798,2.1816,2.1357,2.2284,2.1456,2.079,2.1096,2.2023,2.2906814229249,2.31394001976284,2.33719861660079,2.36045721343873,2.38371581027668,2.40697440711462,2.43023300395257,2.45349160079051,2.47675019762845,2.5000087944664,2.52326739130435,2.54652598814229,2.56978458498023,2.59304318181818,2.61630177865613,2.63956037549407,2.66281897233201,2.68607756916996,2.7093361660079,2.73259476284584,2.75585335968379,2.77911195652174,2.80237055335968,2.82562915019762,2.84888774703557,2.87214634387351,2.89540494071146,2.91866353754941
4211,"Gjerstad",0.5787,0.531,0.6165,0.7839,0.8595,0.8631,0.8856,0.9225,0.8955,0.927,0.9576,0.936,0.9396,0.9504,0.9837,1.0386,1.0521,1.0584,1.0134,0.9855,1.0098,0.9738,1.0377,1.12334229249011,1.14159219367589,1.15984209486166,1.17809199604742,1.1963418972332,1.21459179841897,1.23284169960474,1.25109160079051,1.26934150197628,1.28759140316205,1.30584130434782,1.32409120553359,1.34234110671937,1.36059100790513,1.3788409090909,1.39709081027668,1.41534071146245,1.43359061264822,1.45184051383399,1.47009041501976,1.48834031620553,1.5065902173913,1.52484011857707,1.54309001976284,1.56133992094861,1.57958982213438,1.59783972332016,1.61608962450592
4005,"Notodden",4.5585,4.6629,4.7097,4.8735,5.0256,5.0985,5.1363,5.1264,5.0931,5.0472,5.0832,4.8969,5.0805,5.3379,5.4414,5.5404,5.4396,5.5521,5.4522,5.3595,5.4756,5.5125,5.7123,5.6869256916996,5.72889486166007,5.77086403162055,5.81283320158103,5.8548023715415,5.89677154150198,5.93874071146246,5.98070988142292,6.0226790513834,6.06464822134387,6.10661739130435,6.14858656126483,6.19055573122529,6.23252490118577,6.27449407114624,6.31646324110672,6.3584324110672,6.40040158102766,6.44237075098814,6.48433992094861,6.52630909090909,6.56827826086957,6.61024743083003,6.65221660079052,6.69418577075098,6.73615494071146,6.77812411067194,6.82009328063241
3428,"Alvdal",1.3608,1.5012,1.4202,1.5831,1.4013,1.4715,1.5183,1.4877,1.3509,1.2096,1.1205,1.1907,1.2933,1.3284,1.3077,1.3311,1.4355,1.2357,1.287,1.323,1.557,1.6011,1.5354,1.37410079051383,1.37320701581028,1.37231324110672,1.37141946640316,1.3705256916996,1.36963191699605,1.36873814229249,1.36784436758893,1.36695059288538,1.36605681818182,1.36516304347826,1.3642692687747,1.36337549407115,1.36248171936759,1.36158794466403,1.36069416996047,1.35980039525692,1.35890662055336,1.3580128458498,1.35711907114625,1.35622529644269,1.35533152173913,1.35443774703557,1.35354397233202,1.35265019762846,1.3517564229249,1.35086264822134,1.34996887351779
3417,"Grue",1.449,1.4976,1.4715,1.4472,1.4868,1.4436,1.5102,1.4382,1.359,1.4832,1.4805,1.4373,1.4148,1.4265,1.4868,1.5147,1.5903,1.4481,1.6308,1.6011,1.5318,1.6497,1.5093,1.56166007905138,1.56749407114625,1.57332806324111,1.57916205533597,1.58499604743083,1.59083003952569,1.59666403162055,1.60249802371541,1.60833201581028,1.61416600790514,1.62,1.62583399209486,1.63166798418972,1.63750197628459,1.64333596837945,1.64916996047431,1.65500395256917,1.66083794466403,1.66667193675889,1.67250592885375,1.67833992094862,1.68417391304348,1.69000790513834,1.6958418972332,1.70167588932806,1.70750988142293,1.71334387351779,1.71917786561265
4618,"Ullensvang",14.2443,17.4564,19.7748,23.6475,21.4578,23.8194,22.4883,22.7169,20.7216,20.4462,23.6187,25.2495,20.241,24.4107,23.4657,21.5631,20.475,21.8556,21.3318,21.735,22.221,21.1266,22.9662,23.0899268774703,23.2132428853755,23.3365588932806,23.4598749011857,23.5831909090909,23.706506916996,23.8298229249012,23.9531389328063,24.0764549407114,24.1997709486166,24.3230869565217,24.4464029644268,24.569718972332,24.6930349802371,24.8163509881423,24.9396669960474,25.0629830039525,25.1862990118577,25.3096150197629,25.432931027668,25.5562470355731,25.6795630434783,25.8028790513834,25.9261950592885,26.0495110671936,26.1728270750988,26.296143083004,26.4194590909091
4220,"Bygland",0.7065,0.7263,0.7074,0.6957,0.7146,0.7326,0.7596,0.8001,0.756,0.8046,0.7623,0.7686,0.7974,0.8235,0.8487,0.846,0.8802,0.8442,0.8469,0.8973,0.8577,0.8892,0.9063,0.911721343873521,0.921133992094866,0.930546640316207,0.939959288537551,0.949371936758895,0.95878458498024,0.968197233201584,0.977609881422928,0.98702252964427,0.996435177865614,1.00584782608696,1.0152604743083,1.02467312252965,1.03408577075099,1.04349841897234,1.05291106719368,1.06232371541502,1.07173636363637,1.08114901185771,1.09056166007905,1.0999743083004,1.10938695652174,1.11879960474308,1.12821225296443,1.13762490118577,1.14703754940712,1.15645019762846,1.16586284584981
