"kommunenummer","iKomNr","KomNavn","Kyst","iFylke","SSB_Sentralitet","BefUtvSiste10y","SyssUtvSiste10y","Herfindahlsindeksen_omvendt","SSB_Sentr_Kl","Herfindahlsindeksen","rSkog","rDyrketMark","rUrbant","SHAPE_Length","SHAPE_Area"
"1520",1520,"Ørsta",1,15,718,4.5,-0.5,0.955796705,4,0.044203295,29.2096917417227,3.08385132563745,0.385639984777369,233373.956461388,664327793.992166
"1851",1851,"Lødingen",1,18,537,-10.6,-11,0.920167057,6,0.079832943,18.5012405046315,0.472253886754859,0.0766334907512956,888340.548055434,527003430.712882
"4629",4629,"Modalen",1,46,530,-0.8,-10.9,0.901406036,6,0.098593964,24.7754634053124,0.468182686795337,0.031052933307854,139348.939664892,414097753.807668
"3451",3451,"Nord-Aurdal",0,34,686,0.1,5.2,0.935392886,4,0.064607114,55.7084073383565,3.42647853762397,0.164373889924653,186633.985081996,907880441.828767
"1134",1134,"Suldal",1,11,518,-1.5,-1.9,0.911520221,6,0.088479779,32.1565730393004,1.00752896056334,0.0586808338965646,518002.952151971,1744478937.23457
"4646",4646,"Fjaler",1,46,562,1.5,10.2,0.915737017,6,0.084262983,46.1907200655536,3.28382669261498,0.100378981870327,297384.68492478,418947849.378224
"3324",3324,"Gol",0,33,683,2.1,3,0.933368927,4,0.066631073,66.4281690140845,3.46478873239437,0.315492957746479,107664.261827654,533473500.232107
"1825",1825,"Grane",0,18,494,-0.3,0.7,0.821288715,6,0.178711285,37.6930408011536,0.483007419752409,0.0294395018237522,254907.182398749,2002774484.66145
"4627",4627,"Askøy",1,46,810,11.8,20.1,0.938477411,3,0.061522589,16.7463461275782,0.98802531530301,4.53489960387925,355196.359342067,101746316.451
"4222",4222,"Bykle",0,42,467,7.1,19.4,0.900071747,6,0.099928253,19.4921954876968,0.158135096448777,0.0299911389816645,201418.645317529,1472955950.65637
"4024",4024,"Hjartdal",0,40,599,-1.3,19.8,0.82946559,5,0.17053441,62.1518171827036,1.47421078561413,0.0202119730675459,137051.964319134,793412404.977099
"3310",3310,"Hole",0,33,832,6.6,15,0.934045717,3,0.0659542829999999,52.8752335478514,11.2310566742786,0.783682790118331,71853.2206983834,192853992.574736
"1580",1580,"Haram",1,15,625,4.3,5.8,0.889399152,5,0.110600848,18.7957224221188,2.55574603294212,1.01162330689675,374845.338392623,262183134.820901
"4641",4641,"Aurland",1,46,528,3.6,13.8,0.912122172,6,0.087877828,14.0585950636659,0.404876987293193,0.0336298474787506,292358.859470406,1472906857.50259
"3911",3911,"Færder",1,39,846,5.1,-0.2,0.938739317,3,0.061260683,9.61281474187649,2.47397664931777,1.56315937543958,537113.208377892,100041334.66641
"4202",4202,"Grimstad",1,42,809,13.9,16,0.945338642,3,0.054661358,51.5963644838033,4.95455604754137,1.33535306455372,359976.172518789,304424246.518067
"1108",1108,"Sandnes",1,11,882,15.8,12.7,0.948604958,2,0.051395042,19.7215451787687,4.80018937733434,1.36158796401831,387141.112141539,1046133867.3174
"1506",1506,"Molde",1,15,740,4.9,3.5,0.961363389,4,0.038636611,25.6981332904897,2.18402000261078,0.389609085523211,745925.398525979,1507044971.86067
"1853",1853,"Evenes - Evenássi",1,18,528,-4.8,4.9,0.870243375,6,0.129756625,38.7108344221556,2.24425486127123,0.0691722388747983,149142.570343794,252632257.583387
"1818",1818,"Herøy (Nordland)",1,18,480,4.5,4,0.906018047,6,0.093981953,0.504349618962277,0.237900763661451,0.0412361323679849,1258762.7988067,64436443.3783843
"5061",5061,"Rindal",0,50,607,-5,-11.6,0.911418898,5,0.088581102,35.1694781150109,4.21717251637814,0.0743741494445675,173322.819610392,632731908.192105
"4218",4218,"Iveland",0,42,624,4.8,-4.2,0.855251487,5,0.144748513,83.3619997706685,1.13519091847265,0.0229331498681344,89971.0791144612,262508831.745828
"5516",5516,"Gratangen - Rivtták",1,55,509,-3.6,26.1,0.888663997,6,0.111336003,35.883200768697,0.971547536433033,0.0266908663855229,160119.106113909,312600404.709288
"3437",3437,"Sel",0,34,627,-6.5,-13.9,0.941747848,5,0.058252152,42.5727039688854,3.56669318483161,0.185627154600902,175270.096257368,906206605.08484
"3450",3450,"Etnedal",0,34,587,-11.4,-20.6,0.909127259,5,0.090872741,75.83525722002,2.7486169795705,0.0130679095700658,129736.942283837,459725330.714408
"5001",5001,"Trondheim - Tråante",1,50,885,14.6,16.1,0.959358602,2,0.040641398,40.4508541024923,10.3290394847382,4.77457294875385,161043.951227916,528855450.387006
"4632",4632,"Austrheim",1,46,641,0.8,-6.3,0.826029573,5,0.173970427,4.86599975299494,1.84018772384834,0.197604050883043,462677.612280092,57926270.3860667
"3205",3205,"Lillestrøm",0,32,940,17.8,23.2,0.939381883,1,0.060618117,52.4288217257994,26.3753832676303,3.62242663162505,151922.744440274,456743317.265998
"1824",1824,"Vefsn",1,18,686,0.7,3.6,0.937093819,4,0.062906181,35.9887701324927,1.43919617790474,0.14825395261784,425260.729703757,1928182855.67106
"1845",1845,"Sørfold - Fuolldá",1,18,547,-6.9,1.9,0.781284292,6,0.218715708,25.9874407699497,0.396233324042345,0.0245937925267662,569214.081657975,1636158169.26582
"1528",1528,"Sykkylven",1,15,695,-0.6,-4.9,0.777982748,4,0.222017252,38.0738410844005,3.48985246761027,0.454329863451409,121615.67484337,339070125.674166
"4219",4219,"Evje og Hornnes",0,42,691,9.8,10.7,0.911313637,4,0.088686363,72.1855996729521,1.42061423680311,0.143083448311104,137634.418589955,589150754.807556
"5007",5007,"Namsos - Nåavmesjenjaelmie",1,50,690,-2.8,-4.9,0.938607369,4,0.061392631,42.3542786673604,2.3361658670058,0.134111798369848,1081933.12879221,2132213184.77822
"1130",1130,"Strand",1,11,787,13.4,7.5,0.945975749,3,0.054024251,32.0843628212639,3.81313838864974,0.942459053974885,204059.745026907,263252361.48925
"1578",1578,"Fjord",1,15,564,-10.6,-10.3,0.906889198,6,0.093110802,22.6516005141959,1.13313548428052,0.0420561489263779,287678.223190561,1194177420.59568
"3301",3301,"Drammen",1,33,912,8,5.2,0.946786326,2,0.053213674,67.4894973200058,7.64884832681443,6.69274228596263,135229.262689269,317940422.962801
"3242",3242,"Hurdal",0,32,736,9.6,17.2,0.919468092,4,0.080531908,84.2217932970697,2.44604316546763,0.200035093876119,94828.7050447244,285072589.211084
"3303",3303,"Kongsberg",0,33,848,11.2,-3.5,0.912789714,3,0.087210286,81.3413357878677,5.31213355356895,0.938102863483337,155534.464152732,794219385.681401
"5620",5620,"Nordkapp",1,56,525,-8.5,-0.6,0.906126125,6,0.093873875,0.226362925095141,0,0.0326631066412451,727976.921815138,928650305.14201
"3116",3116,"Skiptvet",0,31,792,5.9,-1.8,0.88744856,3,0.11255144,52.401185770751,32.4407114624506,0.711462450592885,46725.9357126524,101241482.170161
"5634",5634,"Vardø",1,56,515,-9.2,-6.9,0.87914966,6,0.12085034,0.266664335175212,0.159124291809471,0.0760649087221095,200306.375276438,605111917.076974
"4612",4612,"Sveio",1,46,673,6.1,7.6,0.894439184,4,0.105560816,30.2949276718629,3.17655552287494,0.184496911682131,302437.844091009,247723129.178453
"5630",5630,"Berlevåg",1,56,426,-11.4,-6.4,0.86661981,6,0.13338019,1.05196380948861,0.0363383283137168,0.0301792896164767,304673.171750573,1128166438.22923
"4030",4030,"Nissedal",0,40,543,0.8,2,0.904478458,6,0.095521542,66.7487875205763,0.540230012041937,0.0198857673144271,165909.558823647,907488423.393234
"3425",3425,"Engerdal",0,34,421,-3.5,1.3,0.907091988,6,0.092908012,49.3680970981635,0.647837052819434,0.00409735310989101,277056.858524125,2196164040.56784
"4622",4622,"Kvam",1,46,674,-0.6,-2.1,0.945474229,4,0.054525771,31.0997375328084,2.14698162729659,0.263779527559055,249142.182487379,620070365.960071
"1579",1579,"Hustadvika",1,15,651,1.9,0.7,0.952091201,5,0.047908799,19.9325434408644,7.06167732957071,0.295726462686279,583629.203227893,523512739.986418
"1832",1832,"Hemnes",1,18,567,-3.5,-7.2,0.930212169,5,0.069787831,33.1450071378451,1.24851798978925,0.103438263688935,320550.739991265,1588315197.40483
"4643",4643,"Årdal",1,46,592,-6.3,-8.9,0.789417234,5,0.210582766,21.5558594988899,0.138756739613067,0.156596891849033,201663.889043863,979343661.323374
"5058",5058,"Åfjord",1,50,512,0.4,12.3,0.906562151,6,0.093437849,18.6218342295071,1.78410524418814,0.0377189269384385,914770.839474107,1330011285.32561
"3228",3228,"Nes",0,32,826,22.5,11.8,0.936586559,3,0.063413441,65.2490792184281,23.5829327673388,0.877083463387228,157226.525479444,640849304.172155
"4020",4020,"Midt-Telemark",0,40,731,10.5,7.5,0.939472354,4,0.060527646,75.8765670202507,9.58919961427194,0.530376084860174,136074.75345206,519502880.963254
"5614",5614,"Loppa",1,56,351,-19.4,-17,0.870252452,6,0.129747548,4.31461592808677,0.0417686814871428,0.0111086918848784,491805.401823859,689486189.773144
"3416",3416,"Eidskog",0,34,691,-4,0.5,0.937890795,4,0.0621092049999999,81.5331282499727,6.41484095629226,0.260778588047908,128474.904582134,640301413.987861
"3403",3403,"Hamar",0,34,873,10.3,8.8,0.957571165,2,0.0424288350000001,51.7054683270168,13.8831105918559,2.65580030205454,140302.971539472,351032828.547063
"1515",1515,"Herøy (Møre og Romsdal)",1,15,664,-0.1,13.2,0.943187291,5,0.056812709,3.10023580347134,1.372298890564,0.382697437086861,367488.129266873,120118581.769871
"5029",5029,"Skaun",1,50,746,18.2,22.2,0.920287273,4,0.079712727,57.3717314767198,12.6587285889473,0.636892282131413,81474.8863290634,224362136.883551
"1840",1840,"Saltdal",1,18,603,-2,0.2,0.9050408,5,0.0949592,24.2557681861492,0.505801579739441,0.0636704453369191,258055.740022486,2214452819.95789
"3220",3220,"Enebakk",0,32,827,7.9,11.7,0.902733135,3,0.097266865,65.6333304669361,12.0216699630235,1.14369249290567,77614.5050853368,232670016.663324
"4212",4212,"Vegårshei",0,42,653,7.9,-11.8,0.910016446,5,0.089983554,83.8155489947982,1.04597216364403,0.0449880500492057,83220.8597564258,356480627.12554
"3405",3405,"Lillehammer",0,34,818,6.4,3.7,0.944675292,3,0.055324708,63.7653261915722,6.71213959911286,1.73034272084362,133333.31791499,478285414.248947
"3230",3230,"Gjerdrum",0,32,880,16.3,11.5,0.904961766,2,0.095038234,57.5309532395721,32.6721961774252,1.91128741435269,50924.4092860535,83225576.2179481
"3236",3236,"Jevnaker",0,32,793,8.5,0,0.933849751,3,0.066150249,72.7039120995968,6.68113951530725,1.06774179256568,91142.3685323028,225892168.871662
"5607",5607,"Vadsø",1,56,641,-9.2,-11.3,0.939301581,5,0.0606984189999999,5.18038900039735,0.446260277740986,0.126338526118453,218081.478341924,1266165090.56963
"3436",3436,"Nord-Fron",0,34,629,-4.1,-7.6,0.92325883,5,0.07674117,48.7444362667788,3.61949321837872,0.161216836645288,224750.900174545,1142785138.45713
"1573",1573,"Smøla",1,15,445,-1,10.2,0.845321323,6,0.154678677,0.213477196001853,1.01939498245846,0.0281326537366784,1822095.84898765,272508151.465403
"1535",1535,"Vestnes",1,15,644,-0.2,0,0.926313534,5,0.073686466,36.4385669279801,4.09370649864459,0.446919188218917,200316.947324841,405912300.311548
"1539",1539,"Rauma",1,15,627,1,-5,0.949284827,5,0.0507151729999999,25.110251102511,2.09573524306672,0.120215487869164,325759.741809537,1453035315.30865
"5020",5020,"Osen",1,50,459,-10.5,-6.6,0.9057317,6,0.0942683,9.92828141640043,0.777089989350373,0.0108160276890309,377175.084779502,387213158.91137
"1822",1822,"Leirfjord",1,18,559,5.9,-13.4,0.894070257,6,0.105929743,24.1109769189479,3.53093129361245,0.0486446591519055,259078.237314747,464973124.580621
"1834",1834,"Lurøy",1,18,362,-3.3,14.5,0.81619929,6,0.18380071,6.58373763727022,0.530765723000097,0.00747557356338165,1417442.31487787,265036031.599511
"4001",4001,"Porsgrunn",1,40,855,4.7,1.4,0.95784084,3,0.04215916,60.7867765273312,3.89368971061093,6.12439710610932,220720.775865007,164678489.506275
"5059",5059,"Orkland",1,50,728,6,12.8,0.947536052,4,0.052463948,47.4607648870159,4.73007544677328,0.228852111300271,476273.048315743,1908124987.65566
"5006",5006,"Steinkjer",1,50,721,-1.1,-3.3,0.942829677,4,0.057170323,50.0004444167918,7.80040353044699,0.241318317971326,400093.381537151,2121886754.91138
"5501",5501,"Tromsø",1,55,803,10.9,15.1,0.953714546,3,0.0462854539999999,16.491143428217,0.640981459783583,0.300273393525858,1474559.1777862,2520355851.98505
"3905",3905,"Tønsberg",1,39,879,16.6,10.8,0.949082157,2,0.050917843,45.117748420448,31.9147825178842,3.71521069395854,181611.479326814,329582607.347649
"3446",3446,"Gran",0,34,801,0.1,-2,0.938384348,3,0.061615652,69.7746646401903,10.0812793233331,0.442741029538096,157478.313555545,757179020.858317
"3435",3435,"Vågå",0,34,610,-5,-2.8,0.927301407,5,0.072698593,28.9438266453131,2.13385063045587,0.0578951721441515,288221.909590765,1332274678.39928
"4637",4637,"Hyllestad",1,46,481,-11.2,-24.9,0.900907154,6,0.099092846,40.9266007287871,2.14471629359708,0.0390421655387819,269953.269338394,260426264.178448
"5605",5605,"Sør-Varanger",1,56,634,-1.2,-6.7,0.944564795,5,0.055435205,29.2845572085905,0.227780924838258,0.0552557566361567,1018275.83221353,3999200948.36041
"4216",4216,"Birkenes",0,42,705,9.2,9,0.895859813,4,0.104140187,82.1670641395758,1.58152378561566,0.138069536839463,174104.875725228,639315752.815452
"1812",1812,"Sømna",1,18,505,-3.1,-7.7,0.889249496,6,0.110750504,12.1964711222058,4.12175195733575,0.0851015545217293,430979.962816887,195123388.774527
"5042",5042,"Lierne",0,50,398,-7.6,-3.9,0.919301967,6,0.080698033,38.3192085626498,0.512205827734072,0.00202586352432724,253719.198769865,2959667167.53141
"4205",4205,"Lindesnes",1,42,733,5.2,11,0.943743698,4,0.056256302,57.9073310414689,2.70716513388264,0.403602108940664,800228.631924691,937308849.480892
"4012",4012,"Bamble",1,40,786,0.3,-3.9,0.914189682,3,0.0858103180000001,66.9750006741997,2.59432054151722,1.16232032577331,261576.272702409,304880730.701702
"5528",5528,"Dyrøy",1,55,496,-11.3,-15.2,0.880059923,6,0.119940077,35.3812747477328,1.91382466896581,0.0170306978328437,163798.549258439,288496665.079617
"0301",301,"Oslo",1,30,1000,13.6,19.9,0.963651234,1,0.036348766,60.0956838273531,1.64742589703588,12.9693187727509,190662.886244349,454386174.641752
"1516",1516,"Ulstein",1,15,719,11,-14.1,0.919243364,4,0.080756636,8.50317602587584,1.41849499240092,0.86122910252913,204422.466430538,97657566.0549057
"3448",3448,"Nordre Land",0,34,695,-3.4,-6.2,0.929089422,4,0.070910578,75.4291755642088,3.7798852740443,0.163296068333124,188382.820563364,956295753.514913
"4207",4207,"Flekkefjord",1,42,689,1.7,1.2,0.948322792,4,0.051677208,48.8279383455978,1.48128933608202,0.29762311084413,322399.827361179,546800599.469682
"4649",4649,"Stad",1,46,607,3.2,4.1,0.945776825,5,0.054223175,23.5712997242671,2.62762311346281,0.17351417748267,476402.52073018,756502092.342287
"5037",5037,"Levanger - Levangke",1,50,752,6.6,6.9,0.934815139,4,0.065184861,43.0744232170807,15.2848967107543,0.526900605756479,257613.77891549,645833988.895346
"1839",1839,"Beiarn",1,18,448,-4.5,5.7,0.841609114,6,0.158390886,25.4908131399937,0.804505878460707,0.00806926658436015,236380.841168827,1221346706.43049
"5038",5038,"Verdal",1,50,747,3.2,-0.3,0.924910379,4,0.0750896210000001,42.5686384784498,5.51089012730712,0.202592157063245,196578.046956949,1547403739.89575
"3452",3452,"Vestre Slidre",0,34,583,-5.8,-8.1,0.920517939,5,0.079482061,48.6600599418083,5.83010653890748,0.0306272013300956,115313.470550979,457966858.417194
"5033",5033,"Tydal",0,50,519,-12.9,-11.6,0.923399424,6,0.076600576,25.2875120423892,0.604377408477842,0.0255900770712909,167182.169162295,1328436215.56913
"1868",1868,"Øksnes",1,18,584,1.4,0.4,0.891905277,5,0.108094723,11.3358419567262,0.823715668953491,0.141110065851364,689253.618794592,319345996.565536
"3118",3118,"Indre Østfold",0,31,858,9.8,5.1,0.940658751,3,0.059341249,57.2143073658684,29.1830857835708,1.39183590987168,199123.331228132,792022391.659557
"5546",5546,"Kvænangen",1,55,438,-10.2,24,0.844754392,6,0.155245608,12.8241639858797,0.238941054993719,0.00559144434462681,661423.878030251,2111760939.39363
"3433",3433,"Skjåk",0,34,550,-5.8,-3.3,0.919499643,6,0.080500357,12.3574446762482,0.893756233407693,0.0202359901903628,222712.91681094,2080944594.89687
"3453",3453,"Øystre Slidre",0,34,602,2.9,5,0.929324536,5,0.070675464,27.2388675663406,2.52672196772729,0.044364656844538,153869.384088892,970849643.38951
"5022",5022,"Rennebu",0,50,602,-2.1,-3.6,0.900190773,5,0.0998092269999999,47.8780526399072,3.39258399704626,0.0664592014346748,170502.829333341,948783295.699993
"4619",4619,"Eidfjord",1,46,531,1.1,-6.3,0.919250312,6,0.080749688,6.98786510973735,0.21980178588951,0.0189709874726065,228270.85929195,1503555640.04949
"3418",3418,"Åsnes",0,34,665,-4.4,-8.9,0.935563695,5,0.064436305,76.7023402374822,10.6569188794528,0.115282634592476,204815.017388291,1040713076.07022
"4016",4016,"Drangedal",0,40,645,-1.2,2.6,0.915559236,5,0.084440764,84.4172829748396,1.18086527785619,0.0969156363499501,166808.584040508,1065028774.53899
"3238",3238,"Nannestad",0,32,834,35,28.2,0.916476361,3,0.083523639,73.7902516276614,15.3762684028389,0.929673294621385,96648.6165724101,341129786.886841
"1111",1111,"Sokndal",1,11,652,1.2,2.6,0.868300645,5,0.131699355,18.36620349619,1.23487225459435,0.255490811295383,162048.209136738,296597893.825768
"3332",3332,"Sigdal",0,33,663,-1.7,-1.3,0.919796343,5,0.080203657,73.5613901813693,4.14727946064001,0.0498528154971038,164628.874687284,843770898.466273
"4624",4624,"Bjørnafjorden",1,46,766,16.6,16.2,0.937820995,4,0.062179005,44.6791831094458,1.93858705039795,0.515539256719948,549242.368744969,520355501.731808
"3413",3413,"Stange",0,34,820,10,4.6,0.948494092,3,0.051505908,66.2501553288138,14.5318734726,0.767669515512171,137631.891677101,724405901.827333
"1857",1857,"Værøy",1,18,370,-8.8,-11.2,0.743190212,6,0.256809788,0,0,0.0147249588051748,107823.808351762,18630510.5837501
"1827",1827,"Dønna",1,18,429,-2.8,9.4,0.864636735,6,0.135363265,5.19425786908995,1.8556565257474,0,968397.336344002,192462286.747039
"1151",1151,"Utsira",1,11,293,-0.5,-4.6,0.831640505,6,0.168359495,0.0651748859439496,0.427257585632558,0.0289666159750887,37962.2543956029,6367086.23549985
"1145",1145,"Bokn",1,11,624,0.3,0.9,0.855623269,5,0.144376731,1.77605768211218,2.01993425935744,0.137843282790796,168910.733891546,47477049.1814491
"1103",1103,"Stavanger",1,11,890,6.7,3.4,0.953845166,2,0.046154834,11.1099658571152,5.60200992076274,3.16304837982349,737180.062570583,264093638.231443
"5632",5632,"Båtsfjord",1,56,538,-2.1,5.7,0.809487867,6,0.190512133,0.883380166323477,0.0062570391690652,0.0386798784996758,328418.635741705,1444329910.93758
"4638",4638,"Høyanger",1,46,547,-6.5,-7.7,0.911128431,6,0.088871569,26.4817918634771,0.901384957136098,0.105054652477606,404375.132120037,1005965896.13027
"5041",5041,"Snåase - Snåsa",0,50,561,-6.2,-14.4,0.916343986,6,0.083656014,36.0914515977564,1.5751325416407,0.0217701245592617,199993.073988857,2341565766.062
"5626",5626,"Gamvik",1,56,407,-0.8,5.5,0.748196443,6,0.251803557,1.56808789879149,0.0200036104077321,0.021467289218054,560331.308821756,1422889718.36455
"4615",4615,"Fitjar",1,46,603,6.7,-12.4,0.912730104,5,0.087269896,16.4172901080632,2.45220282626766,0.382377389858687,366685.911707677,143362920.238513
"3429",3429,"Folldal",0,34,492,-8.2,-13.9,0.90009883,6,0.09990117,31.2058070426836,2.38044899653112,0.0415012489526808,192767.381862644,1278155867.8429
"4635",4635,"Gulen",1,46,483,-3.3,-6.4,0.939153004,6,0.060846996,22.8590858801677,1.14391855543488,0.0182702165020655,1133258.41650239,603048266.067864
"3326",3326,"Hemsedal",0,33,625,18.9,19,0.929864182,5,0.070135818,24.8596568061472,1.89645791031307,0.0995341800374249,152339.430644454,755228716.970652
"1856",1856,"Røst",1,18,366,-17,-16.9,0.779453507,6,0.220546493,0,0,0,236615.379281439,10115293.2494853
"1149",1149,"Karmøy",1,11,758,4.3,7.2,0.943969107,4,0.056030893,3.28104024637414,3.87591798057435,1.62933326314127,654289.603102952,231543958.540485
"3907",3907,"Sandefjord",1,39,861,6.5,7.9,0.952803401,3,0.047196599,50.9041887337506,20.9224843524314,3.06596051998074,313145.858136973,422706547.79141
"4228",4228,"Sirdal",0,42,575,0.3,1,0.917838525,5,0.082161475,15.0925187224953,0.609928712973209,0.0315258511979823,252052.310316162,1561471219.9205
"1112",1112,"Lund",0,11,625,1,-5.9,0.783162041,5,0.216837959,37.6453879869732,3.40360929503661,0.23506941893778,123940.408526843,410542779.910504
"5520",5520,"Bardu",0,55,597,0.4,4.2,0.907114395,5,0.092885605,24.8268235764029,0.585082973049939,0.0514074167218341,305358.015672612,2703420207.40831
"5014",5014,"Frøya",1,50,531,19.6,41.9,0.819103216,6,0.180896784,0.109214874158644,0.139222794853991,0.0219825465558932,2430236.06698681,241697945.857161
"1811",1811,"Bindal",1,18,426,-10,-12.8,0.905796467,6,0.094203533,22.6375361937352,0.668487321224884,0.024129156795648,702739.357517822,1265462081.63589
"1554",1554,"Averøy",1,15,611,3.9,-0.9,0.926798453,5,0.073201547,13.3356187864244,3.98811564392641,0.108559021826077,435361.342800891,176156727.680149
"4217",4217,"Åmli",0,42,591,-1.6,10.1,0.907739278,5,0.092260722,77.4862904652397,1.07907305855298,0.0362639306562887,203782.203057915,1133809153.85384
"1101",1101,"Eigersund",1,11,747,2.6,1.7,0.941421429,4,0.058578571,16.1734871054411,3.16378191654634,0.637873997039095,331357.709431895,434969035.155613
"4032",4032,"Fyresdal",0,40,491,-9.3,-7.3,0.939168696,6,0.060831304,64.7724254308526,0.60389681411228,0.0218746582084655,181207.123505391,1283945777.93285
"4203",4203,"Arendal",1,42,805,5.9,-1.2,0.951455406,3,0.048544594,51.2872577774435,4.75545862475245,3.27392143591286,443514.775281296,270860095.59326
"3112",3112,"Råde",1,31,836,17.9,31.3,0.937519114,3,0.062480886,34.2880523731587,22.888077552562,1.6555457635654,106634.909905296,118834333.742691
"5044",5044,"Namsskogan",0,50,427,-9.8,-6.8,0.878827289,6,0.121172711,35.4951839960484,0.54122711075045,0.0169353985110962,228225.457282225,1416337362.08012
"4616",4616,"Tysnes",1,46,578,6.4,16.3,0.906707456,5,0.093292544,39.5788426463273,1.59592107444868,0.0373072458962029,426537.249699428,256655255.74185
"3421",3421,"Trysil",0,34,604,-1.6,2.7,0.935358128,5,0.064641872,70.7586916135881,0.985602441613588,0.0633625265392781,247688.863264869,3013568118.35073
"3440",3440,"Øyer",0,34,698,1.2,2.9,0.933294671,4,0.066705329,46.2187368190836,4.78184118850858,0.207770296658491,114894.793961636,640518155.745719
"5510",5510,"Kvæfjord",1,55,587,-7,-8.7,0.924095886,5,0.075904114,30.0376272056099,1.80867136056555,0.0983438328439896,333141.303724242,512241730.835046
"5032",5032,"Selbu",0,50,643,2.8,1.5,0.931872727,5,0.068127273,50.8187295520067,2.89754138187943,0.0558776845583233,150930.131732059,1235005815.03426
"3110",3110,"Hvaler",1,31,723,11.2,4.3,0.904310438,4,0.095689562,11.5886251870857,0.898011545862733,0.215950395552705,522590.275765905,90162745.9084055
"4634",4634,"Masfjorden",1,46,552,-2.5,1.9,0.913830973,6,0.086169027,36.9553699432774,0.945895406096117,0,395130.926766913,559265610.981784
"3441",3441,"Gausdal",0,34,673,-0.2,0.5,0.894573636,4,0.105426364,52.7775678965705,5.10934810897032,0.138521596776225,171403.745406738,1192420446.75335
"3312",3312,"Lier",1,33,887,13.7,18.9,0.932434224,2,0.067565776,70.1515348595213,13.8137356919875,1.78524973985432,95954.1872241831,301939363.052218
"3316",3316,"Modum",0,33,812,8.9,3.7,0.920628711,3,0.079371289,75.1121336323563,9.79042610780295,0.891269043384116,142827.629698007,517831300.99657
"4213",4213,"Tvedestrand",1,42,729,2,1.5,0.93284167,4,0.06715833,59.3066221122642,2.37123670597307,0.404845291263696,387004.651290177,215527863.570691
"5536",5536,"Lyngen",1,55,486,-9.9,-17,0.923925152,6,0.076074848,14.7457353246693,1.17571924316921,0.0461669859883197,296347.166939606,812834669.552201
"1833",1833,"Rana - Raane",1,18,713,0.9,6.6,0.955093725,4,0.044906275,24.8375728225168,0.610477724428481,0.160193190808616,514928.190390064,4456742705.44074
"4626",4626,"Øygarden",1,46,769,14.6,2.2,0.941095993,4,0.058904007,2.65313295487224,0.37065044893438,0.955383484753273,1505058.55378491,316590194.4133
"5522",5522,"Salangen",1,55,552,-7.7,-3.2,0.899668481,6,0.100331519,44.096556484393,2.11097476800368,0.111204846997469,198753.325105111,457854168.165232
"3314",3314,"Øvre Eiker",0,33,848,15.5,9.2,0.932624764,3,0.0673752359999999,73.7017251948507,12.0216306156406,1.16910412470444,128866.82204543,457337519.46212
"1511",1511,"Vanylven",1,15,535,-9.7,-7.1,0.919463053,6,0.080536947,18.6066709402593,4.13366694927521,0.0785789615169875,188828.147781147,387047187.247546
"5026",5026,"Holtålen",0,50,524,-1.6,-6.6,0.934239845,6,0.065760155,28.4321830718101,1.51209510739265,0.0148811984325138,175077.821076587,1209705877.21342
"3432",3432,"Lesja",0,34,520,-8.3,0.4,0.882455735,6,0.117544265,14.9679794997986,1.97389676431407,0.0137199102452323,195241.236264357,2263769650.87333
"3338",3338,"Nore og Uvdal",0,33,530,-1.8,-0.1,0.940782299,6,0.059217701,28.6820187358123,0.647840266010167,0.0135882597435815,301902.308461848,2508244094.68801
"1517",1517,"Hareid",1,15,683,2,-10.6,0.930562678,4,0.069437322,20.278374176353,3.19093803213149,1.05871029836381,59249.7000368113,82646611.2043738
"5054",5054,"Indre Fosen",1,50,621,-2,-7,0.94848318,5,0.05151682,41.1751934727037,5.61263438036208,0.134467906292678,255664.697826414,1096566988.26419
"4224",4224,"Åseral",0,42,536,-0.1,-12.7,0.764447232,6,0.235552768,32.8627283072867,0.771822289326317,0.00676048720577796,141025.174053573,891021183.280287
"1837",1837,"Meløy",1,18,488,-5.6,-5,0.922067218,6,0.077932782,7.84843497385554,0.54582926722694,0.0407824402464425,966158.857608535,873196520.64564
"5027",5027,"Midtre Gauldal",0,50,657,-2.1,-10.6,0.912257463,5,0.087742537,45.7754390114113,3.13314663814279,0.0623511768784636,180080.706695544,1861296576.09459
"5046",5046,"Høylandet",1,50,525,-3.7,-11,0.900063377,6,0.0999366229999999,41.2965597176124,2.29703387598124,0.0144881723829092,170128.770554791,754374907.786926
"3203",3203,"Asker",1,32,910,12.6,12.6,0.940895417,2,0.059104583,50.7039883323049,7.75041603560143,4.87836801854864,251450.459766713,376916349.446944
"4633",4633,"Fedje",1,46,436,-9.8,-32.2,0.874219075,6,0.125780925,0.0722949634508796,0,0.176721021768817,108247.860593391,9336326.47339899
"4644",4644,"Luster",1,46,567,5.2,10.8,0.929527863,5,0.070472137,18.9015046222051,1.17461742966907,0.0395578078559668,392265.900351225,2714879886.1705
"4018",4018,"Nome",0,40,709,-1,-7.8,0.940829517,4,0.0591704830000001,78.0761980124282,6.72143738217702,0.486419810552284,132252.832818051,430512376.290174
"5624",5624,"Lebesby",1,56,430,-8.4,-9.7,0.815586359,6,0.184413641,6.34857495945007,0.0424808836023789,0.0065652274658222,953137.54837472,3472785033.5547
