"kommunenummer","iKomNr","KomNavn","Kyst","iFylke","SSB_Sentralitet","BefUtvSiste10y","SyssUtvSiste10y","Herfindahlsindeksen_omvendt","SSB_Sentr_Kl","Herfindahlsindeksen","rSkog","rDyrketMark","rUrbant","SHAPE_Length","SHAPE_Area"
"4220",4220,"Bygland",0,42,551,-5.9,-16.2,0.923938135,6,0.076061865,47.166359187034,0.58776891762087,0.030493847866193,213605.834949385,1316453998.7426
"1860",1860,"Vestvågøy",1,18,631,6.3,5.6,0.928774314,5,0.071225686,3.87571883128199,1.82200737064264,0.21427787710002,967210.481087435,423987406.719364
"1848",1848,"Steigen",1,18,403,4.4,13.4,0.846806964,6,0.153193036,12.9009576779252,0.81332311657153,0.00631372920415443,1506404.16420211,1008464658.48329
"4225",4225,"Lyngdal",1,42,695,10.4,5.1,0.902209444,4,0.097790556,70.45939793278,3.03295957467868,0.34642195608218,362418.431069264,645577338.435405
"4206",4206,"Farsund",1,42,686,4.4,4.7,0.900552787,4,0.099447213,31.1454390035413,5.50535270891847,0.56987015101559,428731.378108543,263866353.58369
"4201",4201,"Risør",1,42,709,-0.6,-3.4,0.943662221,4,0.056337779,51.9083969465649,1.59493259704401,0.578203670618808,358416.901750471,193361456.74493
"4014",4014,"Kragerø",1,40,755,-2.7,-6.1,0.943242064,4,0.056757936,44.7676325861126,1.00601421541826,0.537634408602151,700990.766495786,306020613.523784
"4226",4226,"Hægebostad",0,42,575,4.9,12.1,0.913969681,5,0.086030319,56.800052024625,1.64744645799012,0.00867077083152692,124881.120437166,463294217.877999
"1121",1121,"Time",0,11,836,13.4,10.4,0.930831686,3,0.069168314,7.39709575281144,26.2201113658696,2.3856316191724,83822.4922068355,184323557.182316
"4639",4639,"Vik",1,46,532,-6.2,-4.1,0.929331838,6,0.070668162,24.2231289152654,1.53725684141114,0.0607896472139796,212337.978678746,836809860.125435
"1813",1813,"Brønnøy",1,18,613,-0.9,0.8,0.937113145,5,0.062886855,17.3659829900055,1.31025614291176,0.113697861586507,1302862.21765148,1045501332.18095
"1815",1815,"Vega",1,18,400,-1.5,-6.6,0.885349737,6,0.114650263,0.636805180787911,0.621386169146558,0.0107933081489477,1461085.10987109,164736358.7727
"5544",5544,"Nordreisa - Ráisa - Raisi",1,55,570,-1.6,-4.3,0.933575204,5,0.066424796,18.3425330319889,0.537313108484006,0.0396601182197497,513030.443529462,3440641285.27759
"3124",3124,"Aremark",0,31,662,-6.7,-7.3,0.921850251,5,0.078149749,78.1713963540688,6.85021612478857,0.0657771095658711,93588.8312389314,319292649.956088
"3216",3216,"Vestby",1,32,877,22.3,49.3,0.900270905,2,0.099729095,54.4302125973854,23.332893173115,2.63435890664202,82942.9254793662,134057263.699056
"1146",1146,"Tysvær",1,11,724,8.8,8.7,0.911113928,4,0.088886072,33.8146924649992,3.92638036809816,0.369671228566934,474764.939027575,428122498.475881
"3454",3454,"Vang",0,34,541,2.4,-0.1,0.903351264,6,0.096648736,14.2013563690227,0.992367933363888,0.0126204757255113,209885.27386033,1508822072.30682
"4647",4647,"Sunnfjord",1,46,667,4.4,6.3,0.943053316,5,0.056946684,32.8728671205022,3.29767482981169,0.21041464061533,382234.451402159,2218486008.52139
"3431",3431,"Dovre",0,34,563,-9.6,-9.9,0.924946647,6,0.075053353,19.0775297204591,1.98844896583063,0.084287368621645,201760.659350379,1366098147.49712
